gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000290385,-12.453797137922349,-13.246448576900185,-13.160376120626163
ENSG00000291215,-12.89066686535251,-12.4674661112477,-13.07067978361076
LINC01409,-12.256645719477982,-12.065198191669008,-11.94274501567227
ENSG00000290784,-13.183574700115663,-12.80561612632323,-12.75321804559748
LINC00115,-12.434390601002884,-12.535856356285445,-12.357797452324943
LINC01128,-10.321192275307482,-10.580259356660635,-10.76418230852896
SAMD11,-11.94869025021047,-11.870159595124786,-11.947986023538405
NOC2L,-10.252997886471542,-10.509790188780164,-10.473311342579391
HES4,-10.67618199266482,-10.87617227125237,-11.585678203365536
ISG15,-11.286378467842704,-11.074993448397125,-10.938351539254798
AGRN,-11.667144741840486,-11.565319355939947,-12.396815356547519
C1orf159,-10.87622377839712,-11.044092245688148,-11.245344013500944
SDF4,-9.947584924702001,-10.286840733684201,-10.202510628596382
B3GALT6,-11.0008680533616,-11.219470488500797,-11.271442823584662
UBE2J2,-10.286996584944141,-10.432037507924612,-10.263218725010411
ACAP3,-12.038659560914457,-11.862091240688672,-12.074948472069595
PUSL1,-12.054329583408974,-12.0209951896364,-12.49820100231881
INTS11,-10.895458091227699,-11.395055546046509,-11.175013961423637
CPTP,-12.324298312155287,-12.507660147465007,-12.203795156109393
DVL1,-12.450683816617342,-12.76452020160889,-12.660729468010546
MXRA8,-11.608319289278267,-11.266088801623281,-11.903147008062032
AURKAIP1,-9.320665283035419,-9.383025920130544,-9.294215303551818
CCNL2,-9.167202185209069,-9.196859618368254,-9.511067105299734
MRPL20-AS1,-11.732809023353756,-11.855556184091121,-12.265687696531835
MRPL20,-8.928368056637636,-9.093077092163716,-9.123723025934392
VWA1,-12.342091502914663,-12.388855033066221,-12.892940622386446
ATAD3B,-11.932475504516548,-12.10177762922355,-12.070452138643853
ATAD3A,-11.326447611609538,-11.50524026517914,-11.746863348118774
TMEM240,-12.725065559586056,-12.88488604136759,-12.810094902220039
SSU72,-9.4952482990076,-9.482635357633493,-9.49590714745398
FNDC10,-11.982109648336476,-12.075025467432942,-12.654449613028142
ENSG00000272106,-11.32000190381062,-11.524594282140843,-11.530539812448604
MIB2,-11.167104443491805,-11.280622779155674,-11.48451975249652
MMP23B,-11.95011804764616,-11.948999981973202,-12.937833062577802
CDK11B,-10.341265373310403,-10.603369792827461,-10.605545043440053
SLC35E2B,-10.489611845141267,-10.449103113076351,-10.74219740695156
CDK11A,-10.588669219983004,-10.862355807467827,-10.917407367802141
ENSG00000290854,-11.511333618175355,-11.49462887638175,-11.55440782127879
NADK,-11.324853985084061,-11.335070272390864,-11.443694749335979
GNB1,-8.694738429561776,-8.884745244674924,-8.962668229606779
PRKCZ,-10.90918600279051,-11.04377410581789,-10.883575736770913
FAAP20,-9.802457406081516,-10.06147391964689,-9.862124501964878
SKI,-10.473396039518255,-10.656876708030444,-10.692608837630642
MORN1,-11.672918235009174,-11.699009149617723,-11.61959537354192
RER1,-10.167721382759844,-10.22755803698179,-10.351145364351206
PEX10,-11.266751776443494,-11.730115419312343,-11.411321399636012
PANK4,-12.390380837265763,-12.203594787294863,-11.99580872462909
PRXL2B,-12.115028357010335,-12.118955389100897,-12.007610068967082
PRDM16-DT,-11.242892443029872,-11.688383079637253,-11.280426598478247
PRDM16,-9.266743914271604,-9.479491975676979,-9.330843363201451
MEGF6,-12.09498275103316,-12.468572831202088,-12.392458689329398
TPRG1L,-10.990229659819551,-11.273882148669959,-11.219162695585144
WRAP73,-11.406176956498339,-11.712379614322437,-11.727321481088694
SMIM1,-11.405214994076296,-11.512808876611285,-11.576208941134999
LRRC47,-10.30095043348316,-10.528359560821139,-10.478320181096729
CEP104,-10.515972263441208,-10.411683963795596,-10.741222273135007
DFFB,-11.870086560053785,-12.026969813875114,-12.133338780674231
C1orf174,-11.292215009034134,-11.36309734830405,-11.28809738375579
NPHP4,-11.1993590577549,-11.561340048280957,-11.165225777125388
KCNAB2,-12.399665474470467,-12.478631222402704,-12.496144368479126
RPL22,-7.110405520381315,-7.314308396623374,-7.283654658703779
RNF207,-9.896916876659619,-9.558857757430161,-9.711496462944691
ICMT,-10.436063650286247,-10.440487648047986,-10.604074038463159
GPR153,-12.790174202000234,-12.096321565583619,-12.204256730774778
ACOT7,-11.315755997144102,-11.68993062090131,-11.62274248218124
PLEKHG5,-11.990974115886605,-12.027218465572217,-12.276468621372166
NOL9,-10.207148934029957,-10.30349205153553,-10.417315970851106
ZBTB48,-11.902917536585166,-12.295711422205237,-12.221602654666167
KLHL21,-10.440907061885781,-10.446022988210235,-10.846869459460152
PHF13,-10.266280689364406,-10.176904689389064,-10.493277487389005
THAP3,-11.30450994360632,-11.723759552407914,-11.418880787121106
DNAJC11,-9.96296266296695,-10.050816182440695,-10.133849605672324
CAMTA1,-8.289641717660638,-8.173535646870691,-8.18283807529506
VAMP3,-9.922029959918776,-9.841428021020603,-10.041897400814117
PER3,-11.355041320528144,-11.14646594167406,-10.989268872716167
PARK7,-8.466394874524015,-8.605305861611638,-8.568817768362672
ERRFI1,-11.030890461498561,-11.091059484247326,-10.982090955011865
RERE,-7.4712381169296975,-7.496649020517359,-7.708916359501784
ENO1,-7.168084792460664,-7.484308160614675,-6.718040950701191
GPR157,-11.48409773082985,-11.54660988405144,-11.893868338250181
MIR34AHG,-12.845536032922658,-12.344806294807462,-12.748197203284068
H6PD,-10.94104759670217,-10.782938315812613,-11.327558449699573
SLC25A33,-10.705434592793097,-10.789695086906917,-10.750888709848839
TMEM201,-12.088010359148315,-12.571551198844492,-12.449140811258614
PIK3CD,-12.947494842997706,-12.980716012865502,-12.98884002146218
PIK3CD-AS2,-12.288730027188226,-12.653272370838499,-12.033743945829261
CLSTN1,-10.021429881245494,-9.89818857535607,-10.226368936148944
CTNNBIP1,-9.994711990279063,-10.04072524496948,-10.140192310126896
LZIC,-9.441342455934507,-9.543143015851161,-9.46951248445806
NMNAT1,-11.015807295974998,-10.891229601134883,-10.943338973315113
RBP7,-12.75947044299335,-13.166039463026502,-13.131288992372472
UBE4B,-9.103449981239791,-9.100423991975214,-9.467017938093433
KIF1B,-8.449635998254665,-8.485836522087475,-8.781384266250626
PGD,-9.619317683581922,-9.707949526448363,-9.786207140044878
CENPS,-11.056601175438974,-11.278193394378578,-11.325831101537062
DFFA,-9.739168970461932,-9.982035708715276,-9.839239516510917
PEX14,-9.950256435523297,-9.807595540974038,-10.044915575404602
CASZ1,-8.994220767146032,-9.039781562409397,-9.20174866180872
TARDBP,-9.371321649622448,-9.44134630644019,-9.5361526867736
SRM,-9.929438516392148,-10.249094300377175,-10.14435444142967
EXOSC10,-9.734629912750284,-9.724532611073528,-9.915414898367134
MTOR,-9.89935099760519,-9.864426043492708,-9.927309225113552
UBIAD1,-11.28791666631755,-11.305386220939901,-11.513853836652284
FBXO2,-11.958910683036963,-12.411078843590252,-12.434940576364202
FBXO44,-11.805814053457567,-11.84627758160308,-11.61904755037378
MAD2L2,-10.9233177605856,-11.339532346478663,-10.624237483094046
FBXO6,-13.210548022979273,-13.145576536579213,-13.149450569590895
AGTRAP,-10.913897250766215,-11.116151847886252,-10.644109423604695
MTHFR,-10.57127944037328,-10.45521243819516,-10.7748791688433
CLCN6,-10.743896958352174,-10.711062707202077,-10.94017326305596
