gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000241860,-12.777381841272044,-13.096661182358613,-13.067626515804179
LINC01409,-11.733423211503718,-12.278788305962888,-12.015009373178822
LINC00115,-12.32118817025547,-12.464010659362128,-12.563397203612052
LINC01128,-10.64987413786953,-10.620311565995948,-10.55341458819258
SAMD11,-11.821043242874095,-12.236971651088188,-11.932574517026882
NOC2L,-10.321791003091823,-10.44097081574685,-10.50272547216996
HES4,-10.687137809143772,-10.634074253803385,-11.639715676424286
ISG15,-11.100066063436634,-11.19966981182156,-11.059600670529246
AGRN,-11.912544977965284,-11.534476022025382,-12.187207531492332
C1orf159,-10.796212939232449,-11.117136507519199,-11.260190792028405
SDF4,-10.019879810361376,-10.167929551408807,-10.206483831608612
B3GALT6,-11.116156971336704,-11.124330525757284,-11.360100197305742
UBE2J2,-10.363644217133567,-10.44830509194511,-10.427023945829081
ACAP3,-11.89620203900334,-12.074324089714752,-12.291478512459502
PUSL1,-12.139483656403064,-11.982635296436044,-12.08927495770608
INTS11,-10.783118414338862,-11.161375357579562,-11.061296560772561
CPTP,-12.172331114844498,-12.247550681575289,-12.223750623604076
DVL1,-12.914233709020309,-12.679135045884028,-12.461093348909793
MXRA8,-11.249368095078038,-11.213540665165349,-11.938203514231255
AURKAIP1,-9.329094247720398,-9.405105034788765,-9.336846957618883
CCNL2,-9.218125067210815,-9.224819422556699,-9.513021121525354
MRPL20-AS1,-12.16928478130369,-11.824440832009625,-11.824116036451937
MRPL20,-8.945119565255833,-9.057152024076231,-9.073813921368822
VWA1,-12.328434830521909,-12.59545948839378,-12.918413787963514
ATAD3B,-11.930243116663608,-11.935681402968115,-12.175688038408934
ATAD3A,-11.36534881111265,-11.25422195649485,-11.453819757422618
TMEM240,-12.73415811854266,-12.485146476867698,-12.44000664546254
SSU72,-9.512058990447043,-9.461606784715498,-9.640816321840989
FNDC10,-12.11197519773816,-11.868961822335018,-12.766359634843063
ENSG00000272106,-11.47096475216416,-11.512220436324094,-11.538549693975597
MIB2,-11.306924454000471,-11.367498875773146,-11.196240959307703
MMP23B,-11.646014364840898,-12.127598289825581,-13.02669813009788
CDK11B,-10.353788635837859,-10.556491222480451,-10.599488538309322
SLC35E2B,-10.564140259358778,-10.435311561916716,-10.68139447211062
CDK11A,-10.614317927358679,-10.759772243034647,-10.881662988757887
ENSG00000290854,-11.332450405693859,-11.483278284561678,-11.846128143584963
NADK,-11.31644787307634,-11.354518251934186,-11.373611812551239
GNB1,-8.70085062338493,-8.785054971980573,-8.868710080438788
PRKCZ,-10.920574876098996,-11.095887431011427,-11.05430099693871
