gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000290385,-12.049299079678093,-13.084171029495351,-13.117375113820872
ENSG00000291215,-12.824875871381519,-12.512618080088343,-12.57078456051607
LINC01409,-12.398578249888782,-12.0362149129441,-11.930909711120451
LINC00115,-12.410610864978434,-12.464740395081735,-12.552162360222557
LINC01128,-10.55369435841103,-10.50638954423197,-10.549735965253937
SAMD11,-12.01131195032292,-12.21434020003283,-12.164958801365962
NOC2L,-10.279709111554206,-10.285499812441135,-10.603120880208957
HES4,-10.955366668470456,-10.666027577980849,-11.272902982119382
ISG15,-11.21773580485206,-11.38310013808823,-10.454429727976972
AGRN,-11.750016317320187,-11.22963897888244,-12.256628485613863
C1orf159,-11.027266752748632,-11.079672312452661,-11.032369433724796
SDF4,-9.900161369471386,-10.138567800544129,-10.113533586137933
B3GALT6,-11.13654292507178,-11.571815824294093,-11.172266905524829
UBE2J2,-10.171802964620802,-10.497686642747931,-10.384436973164048
ACAP3,-11.822646557783825,-12.30838487337861,-11.860967990283413
PUSL1,-12.030008183995154,-11.89106641186242,-12.401815958738668
INTS11,-11.016071099077639,-11.15089818319647,-10.96630838865292
CPTP,-12.285006658736464,-12.26408586795707,-12.357187755427237
DVL1,-12.3919133429781,-12.29440318232001,-12.705863084793217
MXRA8,-11.39257128389731,-11.507541733064887,-11.975353252832663
AURKAIP1,-9.236910630126882,-9.375011930139301,-9.349367856650447
CCNL2,-9.240485203335247,-9.307035217116358,-9.498730027998796
MRPL20-AS1,-12.141890851003822,-11.815822820657143,-11.955231679959372
MRPL20,-8.932306548794136,-9.055857813228908,-9.14216338313617
VWA1,-12.199396552024211,-12.503133114864875,-12.788264758507175
ATAD3B,-12.482297229634419,-12.212719734736899,-12.085453411073404
ATAD3A,-11.1711699377776,-11.374643414259898,-11.580903572681002
TMEM240,-12.595931359384196,-12.976096558892904,-12.92095864143636
SSU72,-9.448788394319589,-9.586727708063467,-9.565013381206596
FNDC10,-11.630728289048545,-12.21155398701033,-12.469478408743342
ENSG00000272106,-11.281312035458683,-11.367293006718613,-11.589681802069295
MIB2,-11.391278515553019,-11.093881900662213,-11.329018944481412
MMP23B,-12.02051071606398,-12.24891925126974,-13.041347857180018
CDK11B,-10.323746461602472,-10.566151497857359,-10.396752717586688
SLC35E2B,-10.802271679007621,-10.434247666879106,-10.595988673289273
CDK11A,-10.841692819936714,-10.82046103574547,-10.963615532844479
ENSG00000290854,-11.53006335086235,-11.209478506377272,-11.905913438738994
NADK,-11.632428468778889,-11.34132847238938,-11.323375143612013
GNB1,-8.793726023538818,-8.839948207681582,-8.90870155814137
PRKCZ,-10.634946504724034,-10.87841626818101,-11.046908583394769
FAAP20,-9.783526802245772,-10.081131070470004,-9.881610206297907
SKI,-10.691753743159081,-10.74188784060242,-10.907397377086566
MORN1,-11.74688841359994,-11.550467047981487,-11.693424922342253
RER1,-10.212867564458731,-10.260331188769568,-10.343499884528633
PEX10,-11.6167046929097,-11.691775039576635,-11.798123547463815
PANK4,-11.955211830723524,-12.353543924703757,-11.983396183871355
PRXL2B,-12.01414535691524,-12.018824934075276,-12.184268411409962
PRDM16-DT,-11.307303848126566,-12.216920297560275,-11.436495861455043
PRDM16,-9.160470270423774,-9.574661549637918,-9.336797929118
MEGF6,-12.975313910786527,-12.606247772237802,-12.763465534984757
TPRG1L,-10.966066424347611,-11.037393991123457,-11.346020016610796
WRAP73,-12.176709677301986,-12.290563022568415,-11.774892051250406
SMIM1,-11.625466445597045,-11.461950591112055,-11.617712814360257
LRRC47,-10.27007012987949,-10.488114954024267,-10.65047657306372
CEP104,-10.570746284636073,-10.66182988824399,-10.578134781993747
DFFB,-12.160365916292077,-11.919986196214337,-12.251876219741657
NPHP4,-11.709734319704983,-11.158544354204276,-11.20065509368669
RPL22,-7.110274952765139,-7.383831422803869,-7.299033539947883
RNF207,-9.78175738612469,-9.507240225301649,-9.761346301169516
ICMT,-10.344269191753657,-10.55163818710044,-10.666166312261373
GPR153,-12.73241432959199,-12.121682597189773,-12.42114068453269
ACOT7,-11.824280659155495,-11.760095597086309,-11.8294736173626
PLEKHG5,-12.244303471589513,-11.940548363332486,-12.563024302831677
NOL9,-10.298679249500266,-10.300147781741178,-10.370345619615176
ZBTB48,-11.997309228517361,-11.962826634405717,-12.410393225257218
KLHL21,-10.507126390798737,-10.374415199369635,-10.686080721510592
PHF13,-10.313369355132076,-10.365572753384091,-10.380855452914728
THAP3,-11.740310893905695,-11.49638755079845,-11.37153802622562
DNAJC11,-9.959557668087724,-9.911885938838664,-10.180701438853477
CAMTA1,-8.317812114872321,-8.168603106051773,-8.150748774721723
VAMP3,-9.934855392112091,-9.800703295806402,-10.22853509284701
PER3,-11.364391772638877,-11.151093129689414,-10.978093527766001
PARK7,-8.367963480995073,-8.650385129887795,-8.56104275604386
ERRFI1,-11.187534366900028,-11.366539528067216,-11.158542614175895
RERE,-7.512537952090567,-7.52662070191282,-7.716238153609112
ENO1,-7.238855374129534,-7.6784538678817515,-6.69573514904618
GPR157,-11.852047650324005,-11.432921455790575,-11.788892430589554
MIR34AHG,-12.01208244805006,-11.863434892641807,-12.424064153969624
H6PD,-10.881762180381818,-10.904843463375329,-11.168799362105618
SLC25A33,-10.709304097875203,-10.569819588561089,-10.607914814283967
TMEM201,-12.399652724347938,-12.148778948796316,-12.3268851346067
PIK3CD,-12.826676785972328,-12.71946723588938,-12.845257956820259
PIK3CD-AS2,-11.901495799584016,-12.349448043404259,-12.068590056733747
CLSTN1,-10.26446928265766,-9.857167239366232,-10.325027495624333
CTNNBIP1,-9.996752468613824,-9.940445196190801,-10.141784821042261
LZIC,-9.44165417085906,-9.562674655907454,-9.457865767964496
NMNAT1,-11.202156771917576,-11.058173045004725,-10.968220536950245
UBE4B,-9.132702273398301,-9.011427925260888,-9.430802957949236
KIF1B,-8.512760317482204,-8.436035132709051,-8.84705473240576
PGD,-9.568541749498026,-9.767733528438216,-9.707553248093397
CENPS,-11.334152997591774,-11.352621702067772,-11.268383197067005
DFFA,-9.764735299855536,-9.852365618288038,-9.816619974166864
PEX14,-9.843174292953123,-9.819112704851463,-10.18236404279178
CASZ1,-9.095105405987637,-8.974992135560091,-9.27945638752515
TARDBP,-9.42871883477256,-9.445527359322037,-9.656954884669508
SRM,-9.853903525336735,-10.098832333746532,-10.204245295479755
EXOSC10,-9.801369860920845,-9.84841257116466,-9.890717051587865
MTOR,-9.873669115482251,-10.029763278898624,-10.095268896474508
UBIAD1,-11.255649203428476,-11.134776564142657,-11.354867883246914
FBXO2,-11.942992704054305,-12.698907161249402,-11.683532593677652
FBXO44,-11.97138655998432,-12.205204370413243,-11.87471616399782
MAD2L2,-10.870157525170962,-11.705092364811312,-10.586295766309036
AGTRAP,-11.056888691410864,-11.1901698535595,-10.716481217972799
MTHFR,-10.374660382314655,-10.41398038175348,-10.61341471403219
CLCN6,-10.604735128397955,-10.841581621587336,-11.06816473466952
NPPA,-8.675746524166946,-8.360376751685784,-8.030428003219322
NPPB,-11.277022810264445,-9.85624534968974,-9.214359374316837
KIAA2013,-10.765251158700087,-11.042767807795052,-11.062006443804275
PLOD1,-10.537922825635567,-11.05736325858138,-10.50643453568579
MFN2,-10.134290235385533,-10.241167360825575,-10.457298357982717
MIIP,-12.763487355358269,-13.165428589823952,-12.866656882412247
VPS13D,-9.259008567511,-9.280804646724015,-9.4038968799862
DHRS3,-10.877172478322013,-11.242105920178497,-11.83110452777851
PDPN,-12.904126394873346,-12.521171620688403,-11.560793355818804
PRDM2,-9.6156048298319,-9.561722879592422,-9.68080044477119
KAZN,-8.434784750783713,-8.305641675624088,-8.416224451115973
TMEM51-AS1,-12.003542626321321,-12.060937101374048,-11.025170897267596
TMEM51,-10.229531412163814,-10.594465730012915,-10.31724689095433
FHAD1,-11.717436088948707,-11.826990137795262,-11.817051191103825
EFHD2,-11.961836017331171,-11.487790003755075,-11.1723251961953
CASP9,-11.133558964646166,-10.956768252925894,-11.117320957053426
DNAJC16,-10.153965602792109,-10.037921137852809,-10.218980258311154
DDI2,-10.147044301436607,-10.208820233414661,-10.23790162228244
PLEKHM2,-9.868464047410308,-9.770043650911717,-10.105181150098158
FBLIM1,-10.01081932838193,-10.022714986631657,-10.201897990292998
UQCRHL,-11.706694927086566,-12.020434654353911,-12.046283263605519
SPEN-AS1,-11.253614296803338,-11.037991539188688,-11.056217240686847
SPEN,-9.234331292043967,-9.210005419960906,-9.24838670628768
ZBTB17,-11.620647198672307,-11.74467867688812,-11.876683062595307
HSPB7,-8.568065207952397,-8.855305953603255,-8.66020278093259
CLCNKA,-12.799377430167006,-12.82224763207462,-12.789727499381522
EPHA2,-11.994895499137247,-12.344631851080402,-12.667488436544103
FBXO42,-9.725184554867942,-10.045037049972503,-10.008775304364484
SZRD1,-10.014122905465499,-10.220280046405074,-10.25856103811067
NECAP2,-11.15210504021958,-11.206937183789352,-11.385301930430616
CROCCP3,-10.582627872356017,-10.556745888732351,-10.587584969049372
NBPF1,-10.156173737483085,-10.147237567945337,-10.198803755809937
CROCCP2,-10.806571437688689,-10.828017733012944,-11.071954809969679
CROCC,-11.211087545616856,-11.923148499969455,-10.997622095777924
ENSG00000238142,-12.012312997298954,-13.074919398133419,-11.884285927167575
MFAP2,-10.394565867998184,-10.354047796707333,-10.644009653451471
ATP13A2,-11.97237466941266,-11.948953905128704,-12.437310271625654
SDHB,-9.70551158757476,-9.77929041716013,-9.814266393122558
RCC2,-10.049139359021947,-10.129369722709095,-10.23821851595837
ARHGEF10L,-11.145079826610573,-11.142035312214247,-10.988375531797367
ALDH4A1,-11.142524671099817,-10.943716917206084,-11.18085403504609
IFFO2,-12.757873081419287,-12.90449263573047,-12.474810910435009
UBR4,-8.845590118682765,-9.070065543126615,-8.952769766995228
EMC1-AS1,-11.018526600171338,-11.002776644482053,-11.29054858926304
EMC1,-10.946937802633638,-10.930320995684076,-11.14215058510586
MRTO4,-10.272121211194284,-10.518719553631744,-10.608031428586337
AKR7A2,-9.961347932206246,-10.189291833161448,-10.092937125253673
SLC66A1,-12.064089399503011,-11.894923829260533,-12.300608584889321
CAPZB,-8.621195711928745,-8.707771863126762,-8.68778299130835
MICOS10,-8.536156262146207,-8.80024667425489,-8.638465521489564
OTUD3,-11.068743182621693,-11.329090135034582,-11.19948041934352
MUL1,-11.392035216904523,-11.557462429916644,-11.584105677501988
PINK1,-10.579361086940152,-10.564841945272088,-10.695966646286433
DDOST,-9.291059442091408,-9.417229182175221,-9.544383257046112
HP1BP3,-8.776555404573225,-8.825353740727742,-8.91058453329932
EIF4G3,-7.956840073154118,-7.891691584562989,-8.097047330542999
ECE1,-10.26713581263896,-10.223776453254844,-10.474313236195
NBPF3,-11.13175190742437,-12.00767136379056,-11.823461085404858
USP48,-9.278890459871924,-9.261348577788686,-9.301626726623448
