gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.911483930492487,-12.264905202523337,-12.73817811995081
LINC01409,-12.05930193072455,-11.985407282979944,-12.147829627380235
ENSG00000290784,-13.00704405821247,-12.89245681908631,-13.189089216003675
LINC00115,-12.389161508927542,-12.415557488672933,-12.519500223330402
LINC01128,-10.459386636517166,-10.578112219026577,-10.651046792600235
SAMD11,-11.995698199938728,-12.144331166074798,-11.854415233132544
NOC2L,-10.292309253375253,-10.490460600853138,-10.473601140361092
HES4,-10.628482313487462,-10.707800744097483,-11.601533035893038
ISG15,-11.224692882967846,-11.21225132176329,-11.065038671136794
AGRN,-11.610747061659724,-11.60439299916187,-12.13948739711898
C1orf159,-10.890855863908182,-11.038387967805246,-11.144513836662034
SDF4,-9.99599130517384,-10.12880696462042,-10.153360721542752
B3GALT6,-11.106668842532663,-11.205433753190038,-11.285353758596415
UBE2J2,-10.32080565793502,-10.444684166443276,-10.427435935623903
ACAP3,-11.894609478634486,-11.969204895657457,-12.107339512641767
PUSL1,-11.991058418850182,-12.047921661342196,-12.153454906959887
INTS11,-10.954168727515947,-11.19252973147296,-11.156500620033071
CPTP,-12.273672950400934,-12.312213464262385,-12.292735831763796
DVL1,-12.41080864166662,-12.697785477912639,-12.528788399452752
MXRA8,-11.509764911690734,-11.204736424729159,-11.687794721093672
AURKAIP1,-9.319559402263474,-9.419058260569264,-9.380507901033043
CCNL2,-9.223370158678689,-9.2109262192324,-9.530459139254944
MRPL20-AS1,-11.98896668930264,-11.901907194440453,-12.048803294030566
MRPL20,-8.976971044536093,-9.086206126941574,-9.089074768085274
VWA1,-12.357643736238547,-12.57450390107362,-12.901690440620444
ATAD3B,-12.023422741296134,-12.04777762502042,-12.076206759769434
ATAD3A,-11.301610162032249,-11.410716529867305,-11.56549491292114
TMEM240,-12.547033846198692,-12.556367500051959,-12.696758296544301
SSU72,-9.494227054688917,-9.498568312384377,-9.575137482189085
FNDC10,-11.921907162007013,-11.892153575895891,-12.4760371352124
ENSG00000272106,-11.454016003581218,-11.53635995169289,-11.535176952169087
MIB2,-11.239231938110951,-11.346518876688528,-11.355396100217616
MMP23B,-11.849435359665785,-11.970867502307208,-13.099546420713326
CDK11B,-10.390947673622184,-10.57500146756978,-10.54374764967194
SLC35E2B,-10.497173140271252,-10.437759176605077,-10.61436980699562
