gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.982636464971579,-12.216319315662536,-12.680348192059496
LINC01409,-11.957393961387366,-11.861582313635445,-11.9791506810101
ENSG00000290784,-13.027186485832756,-12.941512195124679,-12.984340593811114
LINC00115,-12.327520666943618,-12.409681771725444,-12.515058074548339
LINC01128,-10.3868148313766,-10.641631900576165,-10.591472676759011
SAMD11,-11.906732679950599,-12.043854906092529,-11.811969723224376
NOC2L,-10.35834864623855,-10.428880715673657,-10.475813655892297
HES4,-10.805605644574147,-10.721354951418231,-11.488921516141453
ISG15,-11.3129434144305,-11.271122054847792,-11.084509292689432
AGRN,-11.5635907983081,-11.630210103261984,-12.120515983543374
C1orf159,-11.000219018325886,-10.935851320778282,-11.153156382805296
SDF4,-9.995948447925734,-10.128635284214402,-10.174997132547903
B3GALT6,-11.112758710953797,-11.278588680275357,-11.27088679370821
UBE2J2,-10.298051568555785,-10.472605077902147,-10.421290383276157
ACAP3,-11.819558476969089,-12.021454924389104,-12.141032396653422
PUSL1,-12.025483079251815,-12.107453636094451,-12.191989626039323
INTS11,-10.984723383074778,-11.226440569443128,-11.204158204282187
CPTP,-12.304317077931925,-12.387860604335634,-12.331205122610648
DVL1,-12.38344422022492,-12.68764863657052,-12.400961957930853
MXRA8,-11.713882598050924,-11.236370017621573,-11.64984812939205
AURKAIP1,-9.285366271681275,-9.433310644303953,-9.397510378908075
CCNL2,-9.243988450173315,-9.197001363560428,-9.524463200490908
MRPL20-AS1,-11.953033118586683,-11.903143609706975,-12.282487652881336
MRPL20,-9.010803084288673,-9.092601804540283,-9.077048611400777
VWA1,-12.44607134634328,-12.394797134207883,-12.943009891413338
ATAD3B,-11.923167109326956,-11.959221740440414,-11.93710837199634
ATAD3A,-11.383894421737606,-11.515615951931386,-11.621906154653672
TMEM240,-12.693541404072324,-12.64848621434447,-12.860587442953692
SSU72,-9.5165765874147,-9.51158843960705,-9.569748611087492
FNDC10,-11.965485921518384,-11.855893385180327,-12.523296349366984
ENSG00000272106,-11.324189807818424,-11.600515671201173,-11.553474490336535
MIB2,-11.121753950274472,-11.419688536676002,-11.381617248322398
CDK11B,-10.340599164688337,-10.467360460727198,-10.489046164640994
SLC35E2B,-10.461687613564488,-10.407948160022583,-10.651738656609934
CDK11A,-10.718669320470442,-10.806991543728154,-10.91058010982878
ENSG00000290854,-11.411725525178657,-11.349773035486331,-11.547896511033827
NADK,-11.322054118842788,-11.354835202016005,-11.501922451818706
GNB1,-8.701012906126515,-8.825841481455434,-8.884212937089687
PRKCZ,-11.047223977908786,-10.958363999540323,-11.010006548195703
FAAP20,-9.838298387746711,-10.117368640248207,-9.932673098006385
SKI,-10.532202791485899,-10.607269233344583,-10.70586618673561
MORN1,-11.651514247683004,-11.872372069501978,-11.856110899778706
RER1,-10.270634810596755,-10.309131951867288,-10.311807208604849
PEX10,-11.542594463672172,-11.58876128682791,-11.657482692187948
PANK4,-12.24127926699745,-12.454953558406105,-12.172445664031217
PRXL2B,-12.3761413278072,-12.049067205798677,-11.957511981188782
PRDM16-DT,-11.281746599656792,-11.939089141165883,-11.399253528176331
PRDM16,-9.29416796637645,-9.628802685402077,-9.435807874663524
MEGF6,-12.200595860536076,-12.368681184618882,-12.55220732961676
TPRG1L,-10.996546916180346,-11.189506531111514,-11.138532030248232
WRAP73,-11.681335425867346,-11.781518480171426,-11.656063121753643
SMIM1,-11.736915105148197,-11.791697151207943,-11.450163399270865
LRRC47,-10.393401440507333,-10.436511034266418,-10.460850635034333
CEP104,-10.528903497500114,-10.43022152415335,-10.56972356681408
DFFB,-12.151288517962469,-12.134270619319288,-12.09298247857509
C1orf174,-11.275011039332604,-11.392730356990215,-11.438777934948035
NPHP4,-11.166610549169672,-11.13108000033801,-11.315645997323521
KCNAB2,-12.418756281331707,-12.678402547358104,-12.102165266765708
RPL22,-7.130613694256896,-7.328374018517018,-7.321374708439551
RNF207,-9.92780071626933,-9.540102424125939,-9.816160409897305
ICMT,-10.499633481055929,-10.610015292895326,-10.625657175305271
GPR153,-12.751506846597765,-12.270121766113732,-12.25032669865618
ACOT7,-11.350115066778962,-11.966003535880168,-11.742170919314011
PLEKHG5,-12.108077667181828,-12.088518510846662,-12.373437089792585
NOL9,-10.225890956270396,-10.272685803607537,-10.451175839016427
ZBTB48,-11.885542127417937,-11.925328742443638,-12.307397910331478
KLHL21,-10.493985798102297,-10.38966990951702,-10.857552557822485
PHF13,-10.196350281688407,-10.225127651297027,-10.587195274771416
THAP3,-11.41073379012144,-11.477251523376147,-11.389786154415841
DNAJC11,-9.965593406269955,-10.058834319648511,-10.091376879802514
CAMTA1,-8.274367730961213,-8.161357902208852,-8.155085116201567
VAMP3,-9.943785520876931,-9.879432112786509,-10.074345570268367
