gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.840296339639446,-12.353531846093599,-12.372604830419098
LINC01409,-12.255474411548086,-12.00306613726832,-12.305363726264526
LINC00115,-12.548480625069118,-12.293043666188368,-12.563208421533218
LINC01128,-10.532533863294832,-10.50760637530544,-10.654727053467258
SAMD11,-11.880494262087371,-12.14498760219239,-11.956118343048358
NOC2L,-10.336439889637763,-10.343934414505343,-10.419823331514861
HES4,-10.65364759340249,-10.749146613619027,-11.834782866709782
ISG15,-11.290947946528064,-11.24614705445278,-11.064455550177856
AGRN,-11.556261751857008,-11.537340162526068,-12.085848768941059
C1orf159,-10.859971998366206,-10.898888184979425,-11.346178877051866
SDF4,-9.9676418002122,-10.062696433837393,-10.123110640184551
B3GALT6,-11.089366439231938,-11.227472452861884,-11.103425192852226
UBE2J2,-10.304047717046828,-10.560383250571334,-10.414900970032976
ACAP3,-11.971277726771834,-12.257379855263585,-12.362353828722457
PUSL1,-11.91417103571366,-12.064547266242842,-12.036861974143147
INTS11,-10.939343531650051,-11.15383459565658,-11.179991474395392
CPTP,-12.219088424575421,-12.20129403880273,-12.11308280929826
DVL1,-12.593218971976547,-12.93366953099612,-12.798802398261167
MXRA8,-11.554565496865159,-11.329257303658146,-11.747143285311783
AURKAIP1,-9.320284575225106,-9.442567837094462,-9.358408760467452
CCNL2,-9.177678456196952,-9.272054817099672,-9.5408809566021
MRPL20-AS1,-11.991432678844124,-11.833997257307137,-12.106310830542482
MRPL20,-8.958967752196719,-9.081197059686254,-9.12720968133461
VWA1,-12.35413049237144,-12.562948616243347,-12.905866774086237
ATAD3B,-12.092594905112303,-11.936743476648527,-12.260183901878422
ATAD3A,-11.307242643408385,-11.541740093414882,-11.531412202609332
TMEM240,-12.558608273162983,-12.845264335133928,-13.094280166608224
SSU72,-9.525592035651774,-9.497979942940454,-9.55562241139977
FNDC10,-11.873534587912946,-11.90379126099408,-12.645082627511409
ENSG00000272106,-11.465084975616168,-11.751788205856888,-11.429206282679056
MIB2,-11.214087076722043,-11.317131777510843,-11.420976866687113
CDK11B,-10.397295087042053,-10.537699076052403,-10.566076394026798
SLC35E2B,-10.436516320112002,-10.514741973158422,-10.587032172750849
CDK11A,-10.698177426298534,-10.701835026983876,-10.907964258609237
ENSG00000290854,-11.442581092960637,-11.457757383893403,-11.630829852472974
