gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.934523751455151,-12.263562105620963,-12.713559255441654
LINC01409,-12.047076819075363,-11.98870606834875,-12.122177024349213
LINC00115,-12.406904737677854,-12.39622482157013,-12.490692914223958
LINC01128,-10.472014646211873,-10.571432733109527,-10.644715376656551
SAMD11,-11.962470036268533,-12.131536949855144,-11.84067064206009
NOC2L,-10.282343413023673,-10.463732940628873,-10.474562463109777
HES4,-10.685205742473242,-10.727337270872694,-11.59445518419462
ISG15,-11.268757121108797,-11.209788602568247,-11.06067398790693
AGRN,-11.684972933355795,-11.608764709293652,-12.129048813807698
C1orf159,-10.909356594255394,-11.060149371380003,-11.14120972127778
SDF4,-9.986620858379714,-10.140317883028718,-10.152103735448687
B3GALT6,-11.108038937246247,-11.185308119823457,-11.298268123631962
UBE2J2,-10.344201263220727,-10.43528253003311,-10.435358339783251
ACAP3,-11.88555202148624,-11.974376840742247,-12.122102916690153
PUSL1,-11.99281038655058,-12.059020932893022,-12.16241606154272
INTS11,-10.967254685018696,-11.213547275095285,-11.14597030580251
CPTP,-12.283723163361522,-12.343476939883995,-12.259349795980185
DVL1,-12.40474961396829,-12.649698748973707,-12.531105595283119
MXRA8,-11.572536351042672,-11.195988898734038,-11.683397149676733
AURKAIP1,-9.305596681991963,-9.423212484420956,-9.374756909288333
CCNL2,-9.21927963817364,-9.227819427444786,-9.527699726700934
MRPL20-AS1,-11.98197899881065,-11.909044460662217,-12.052776093662516
MRPL20,-8.956840060360326,-9.079948743118022,-9.083590764404468
VWA1,-12.296200696786864,-12.580828288228467,-12.893943790859762
ATAD3B,-12.04265666945429,-12.049637064251968,-12.070146784789292
ATAD3A,-11.3269841632899,-11.413445192848924,-11.554303510040372
TMEM240,-12.611100763995006,-12.579845796595555,-12.715119161786449
SSU72,-9.49537837701371,-9.499931359268052,-9.578019254032355
FNDC10,-11.978921295320484,-11.91330376202204,-12.457580837991523
ENSG00000272106,-11.419822253001636,-11.527598766281073,-11.545354450834218
MIB2,-11.221440548450294,-11.334401770385885,-11.362468787251638
MMP23B,-11.847120141572576,-11.971871873740046,-13.151840632341552
CDK11B,-10.4092957810291,-10.58339723152711,-10.547157815844216
SLC35E2B,-10.481870444583263,-10.431792620651256,-10.616957011734309
CDK11A,-10.679341110733588,-10.798647108073467,-10.891501812093926
ENSG00000290854,-11.464232503865928,-11.404476709270398,-11.669341049278636
NADK,-11.301844040044235,-11.311663470289265,-11.39205331414725
GNB1,-8.727197831991457,-8.831455735933801,-8.919469407136164
PRKCZ,-10.91253000516135,-11.021596992692851,-11.031023947449775
FAAP20,-9.791030885886158,-10.023790228588934,-9.925786431649202
SKI,-10.561466774522914,-10.589920405045001,-10.752060351278073
MORN1,-11.67676607443459,-11.594054454938465,-11.819274542586065
RER1,-10.2253246851147,-10.265341936337684,-10.340485650380181
PEX10,-11.537681240040557,-11.633805295894648,-11.557297226902037
PANK4,-12.251734928041913,-12.253211580410367,-12.11931772774811
PRXL2B,-12.187570393172026,-12.171866706346947,-12.056087088786681
PRDM16-DT,-11.33756219331787,-11.977835762251916,-11.480890818201836
PRDM16,-9.30833206053203,-9.612198106199719,-9.383827072631338
MEGF6,-12.249172594150531,-12.556105163781828,-12.640962659765597
TPRG1L,-11.106648344119067,-11.193337204071467,-11.204692272695299
WRAP73,-11.662837250910679,-11.746889077858118,-11.695909943198671
SMIM1,-11.789117368050697,-11.743469076440539,-11.548699079615432
LRRC47,-10.355831299977345,-10.457440501700544,-10.44201817307722
CEP104,-10.561248459411408,-10.521145126639167,-10.577708271606266
DFFB,-12.077638997474574,-12.17895141193368,-12.21880653808594
C1orf174,-11.289528400959183,-11.337796577940148,-11.34117633138432
NPHP4,-11.24221316363375,-11.335607505203875,-11.100629338009751
KCNAB2,-12.562793582283575,-12.71972463154672,-12.109428552689169
RPL22,-7.1219235000054475,-7.307782819272501,-7.289222716570742
RNF207,-9.92850294422473,-9.56518771810679,-9.795269170550563
ICMT,-10.400244066584454,-10.506377441758254,-10.633736300479441
GPR153,-12.674326262885566,-12.284256299084097,-12.313038683939347
ACOT7,-11.49124539799997,-11.81030964025639,-11.715573913486692
PLEKHG5,-12.107432025403194,-12.076944300782447,-12.292362704667
NOL9,-10.206816071749559,-10.28354425951756,-10.380914597970177
ZBTB48,-11.894333960397656,-12.001337613081702,-12.19098267052701
KLHL21,-10.483985165655275,-10.444100211035284,-10.846696072205829
PHF13,-10.28019468220288,-10.202719347385218,-10.607386042597945
THAP3,-11.438332657650626,-11.538855039185938,-11.488935960529984
DNAJC11,-9.952589014207355,-10.053106638869266,-10.133847987293187
CAMTA1,-8.28171348350722,-8.192156357571788,-8.150802377228228
VAMP3,-9.975984452628452,-9.885442055589968,-10.073966991650755
PER3,-11.442363999518472,-11.113129709329963,-11.08109813334424
PARK7,-8.483406343590257,-8.622558720906376,-8.555013249243107
ERRFI1,-11.051307271920246,-11.105871049717377,-11.099800063831625
RERE,-7.454908273380144,-7.493876640792371,-7.6581947309127605
ENO1,-7.170270515791119,-7.497349996277694,-6.789278997401403
GPR157,-11.791664858750673,-11.477355408234333,-11.82284806969138
MIR34AHG,-12.344740141366259,-12.462577479801036,-12.767331511468118
H6PD,-10.942585669844618,-10.898180264968248,-11.321639360430531
SLC25A33,-10.720696527948563,-10.616787101412601,-10.795930377748046
TMEM201,-12.308603886173554,-12.443909981435237,-12.38183478802083
PIK3CD,-12.81318947559187,-12.939079247704637,-12.875922370674582
PIK3CD-AS2,-12.276037578316226,-12.615155597143751,-12.067072068314634
CLSTN1,-10.024228596705903,-9.876789853955328,-10.274892991121687
CTNNBIP1,-9.988555220692868,-9.970146541908083,-10.109170382248779
LZIC,-9.451138566647712,-9.479338614685926,-9.459234229575683
NMNAT1,-10.929803226298425,-10.909254599287777,-10.895452833230289
UBE4B,-9.121321699312922,-9.06927877561431,-9.460920647273408
KIF1B,-8.50511779732097,-8.49141458814132,-8.75754432454332
PGD,-9.572336267582994,-9.700316115821101,-9.797093970808028
CENPS,-11.129537067360223,-11.36817754113608,-11.361816619263536
DFFA,-9.729600032856792,-9.905223097897334,-9.8489084396373
PEX14,-9.88502290615668,-9.90003008068571,-10.045246881299226
CASZ1,-9.011564154012204,-9.074906743312113,-9.2085037461389
TARDBP,-9.37338904414146,-9.421628305453362,-9.528167637484689
SRM,-9.982587631542765,-10.144697842672002,-10.162198284163685
EXOSC10,-9.753613095433057,-9.808686135801757,-9.903920287356957
MTOR,-9.88899339763118,-9.902793176767922,-9.976122550051535
UBIAD1,-11.213477005478506,-11.216148982404542,-11.305624141421772
FBXO2,-12.429354675484593,-12.29665625528034,-12.138825880009717
FBXO44,-11.78491334003296,-11.921751069925111,-11.556894863624807
MAD2L2,-10.881579694576658,-11.143609770904446,-10.579533331372868
FBXO6,-13.076086344230447,-13.132189383156167,-12.97189085801425
AGTRAP,-10.96749392275167,-11.024585671875103,-10.679413861538295
MTHFR,-10.531988486743467,-10.468010107143165,-10.692047572750477
CLCN6,-10.730170352571216,-10.760806229845402,-10.949166110616375
NPPA,-8.580251458021765,-8.427584163285948,-8.023174738533974
NPPB,-9.978983985542195,-9.923793386994657,-9.855184930489427
KIAA2013,-10.845310624294033,-10.950491765765555,-11.01781040818378
PLOD1,-10.588013072982232,-10.750887352896095,-10.568590963071951
MFN2,-10.177334753854916,-10.242716985966688,-10.404503005349124
MIIP,-12.416915954061425,-12.466213736570552,-12.523965300917302
VPS13D,-9.184268086166428,-9.383402492985539,-9.40489402938414
DHRS3,-10.519981231005936,-11.096758525941626,-11.388856204902831
PDPN,-12.586422212768994,-12.537905267300156,-11.661982974590382
PRDM2,-9.585917850318655,-9.570604436398202,-9.656827632354053
KAZN,-8.323107062604636,-8.239027792480064,-8.509618004478682
TMEM51-AS1,-11.482327471775584,-11.682029752557042,-10.999149724403786
TMEM51,-10.08442971520964,-10.487402710667695,-10.197059703255597
FHAD1,-11.748832097890654,-11.89146742052586,-11.52555861824887
EFHD2,-11.590270031774697,-11.731393429889179,-11.154212874038832
CASP9,-11.112635472195011,-11.21124294699711,-11.005144699460695
DNAJC16,-10.145522066229116,-10.09185131325313,-10.291977808061777
DDI2,-10.176521214973661,-10.176530074696759,-10.201521310523967
PLEKHM2,-9.893119089676086,-9.841909241642307,-10.092612619103235
FBLIM1,-10.00849182859122,-10.122860972514493,-10.186103603246064
UQCRHL,-11.979175729642257,-12.112620246397272,-11.988776123992105
SPEN-AS1,-11.097932649673146,-11.041929002102112,-11.01068535589727
SPEN,-9.155042405410477,-9.130778803457172,-9.325372373324388
ZBTB17,-11.700251301147933,-11.739706509083815,-11.95539389837369
HSPB7,-8.631058456172026,-8.811226504631362,-8.604308078601093
CLCNKA,-13.160195961449833,-12.93488861287851,-12.946387011449236
CLCNKB,-12.840342431458557,-13.076697364029773,-12.81385713596018
EPHA2,-12.170285470314575,-12.134728362163496,-12.586697253397919
FBXO42,-9.813055968750724,-10.014454085751693,-10.010793366509821
SZRD1,-10.098990403895971,-10.16292497619703,-10.253190751796788
NECAP2,-11.138956214617004,-11.246075422637785,-11.236213010011737
CROCCP3,-10.475122281640347,-10.457832572683792,-10.597076441624884
NBPF1,-10.320519190724859,-10.120552259501165,-10.292247075703928
CROCCP2,-10.857322265991478,-10.607286351608279,-11.133676341610396
CROCC,-11.232021314715059,-11.574324506741776,-10.831338774612359
ENSG00000238142,-12.107730133058325,-13.026477333094553,-11.78633000012437
MFAP2,-10.308775691258525,-10.361406175120702,-10.791911594737828
ATP13A2,-11.88082303442044,-11.992267266765936,-12.035943439433405
SDHB,-9.708002172705047,-9.83686082031937,-9.797064850550331
RCC2,-9.961046738415478,-10.138415737303864,-10.188419785910474
ARHGEF10L,-11.05122749803036,-11.042062883120781,-11.122627507465397
ALDH4A1,-11.1172976562684,-11.041880397368725,-11.066606452756844
IFFO2,-12.841993262895635,-12.658206815393621,-12.613916818274852
UBR4,-8.81391386951562,-8.94013114206964,-9.00914914354569
EMC1-AS1,-11.263764373865996,-11.290091878416632,-11.087041486712591
EMC1,-10.988878811741039,-11.085727435959328,-11.240482427670354
MRTO4,-10.261986691993538,-10.517941507247325,-10.41137422226227
AKR7A2,-10.043539997136586,-10.232749371677977,-10.149348580914191
SLC66A1,-12.033879181542865,-12.10335102975826,-12.120461227685915
CAPZB,-8.560462488119507,-8.634646912153102,-8.737357559500918
MICOS10,-8.555781013149982,-8.752171200964744,-8.605765434613776
OTUD3,-11.122268429652218,-11.245602602992566,-11.133705572556488
CAMK2N1,-12.457652323957092,-12.37517645569738,-12.503651350033916
MUL1,-11.394568996168744,-11.482407664406747,-11.32319967034204
PINK1,-10.442704854606731,-10.576544058925018,-10.528784847902179
PINK1-AS,-12.603427503935471,-12.538001836142762,-12.917848908123124
DDOST,-9.288403193252417,-9.432857053836386,-9.616905381504544
HP1BP3,-8.75948930112145,-8.820689914109124,-8.902022962101086
EIF4G3,-7.884761083181722,-7.937216611198299,-8.056461932181048
ECE1,-10.04591887215224,-10.152701385123164,-10.4322066452933
NBPF3,-11.334491048799693,-11.882551805229939,-11.686848562532834
USP48,-9.204618627032254,-9.236102300996988,-9.315557399409153
HSPG2,-9.91259271848062,-10.074904948411913,-10.14046781300617
LINC00339,-11.636656957149459,-11.933460166180746,-11.65618107737138
CDC42,-8.34885465039895,-8.409322915359661,-8.411994306921056
ZBTB40,-10.36064115742202,-10.44285564716179,-10.624040048076589
EPHB2,-10.007918840314229,-9.824646197466539,-10.188811435105778
KDM1A,-8.622159998823824,-8.777989520213183,-8.70135858259838
ENSG00000240553,-12.367254217262698,-12.435987491996842,-12.385151454433446
LUZP1,-9.32718963837136,-9.320843295648167,-9.36858403219167
LINC01355,-11.568253713325188,-11.694152089860872,-11.766605643555353
HNRNPR,-7.971351382034392,-8.124030016821813,-8.202985520383505
ZNF436,-10.805158947603749,-11.144879690327183,-11.243321869829524
ZNF436-AS1,-12.086894922537462,-11.590679306241073,-11.275807969282699
TCEA3,-9.050509242858208,-8.917316933926664,-8.852365240664934
ASAP3,-10.609295738631399,-10.663640799370503,-10.772367100682994
ID3,-8.656716163214984,-8.585190197119942,-8.721538865305057
RPL11,-6.49117658209608,-6.649313095959266,-6.584716533808598
ELOA-AS1,-11.064261534227075,-10.93428638522085,-10.969133475061772
ELOA,-9.948207459509364,-10.119656271966901,-10.167413919009642
PITHD1,-10.301151497028854,-10.450220044021751,-10.325329027282736
LYPLA2,-10.579397150352882,-10.716819633052783,-10.728951799520626
GALE,-11.33004142674533,-11.43696612808463,-11.284525705718965
HMGCL,-10.93519414841444,-11.14771320221501,-10.991270069072451
FUCA1,-11.623717000660093,-11.690129820782456,-11.643617317575337
PNRC2,-9.341720835125708,-9.507845645843519,-9.498056207381612
SRSF10,-8.639067866369306,-8.684829864195256,-8.72416961663099
IFNLR1,-11.487018246787352,-11.840892568442257,-11.779281681906431
STPG1,-11.793944826530169,-11.80607745992517,-11.66795335919384
NIPAL3,-10.931404309798403,-10.881317647586494,-11.007549607766625
RCAN3,-10.851610710121962,-10.772553096218378,-11.048837208227996
SRRM1,-8.34398681401735,-8.402135227940365,-8.349421754941446
CLIC4,-8.397428258176006,-8.541979786056967,-8.346880541526382
SYF2,-9.640769725339522,-9.772293197360067,-9.708446409664141
RSRP1,-8.793489726929698,-8.74501963693665,-8.770237878742007
TMEM50A,-8.739706439964513,-8.647384477730178,-8.729251061060692
MACO1,-9.792848993896863,-9.853700705257747,-9.899187614357578
LDLRAP1,-12.137063560328633,-12.22036110846088,-12.156448046034614
MAN1C1,-9.746975966218303,-9.97815130095368,-9.762398128322667
SELENON,-10.876803748324173,-10.953129073789661,-10.99329604240845
MTFR1L,-10.275641821539363,-10.28340259958844,-10.168164461221863
AUNIP,-12.300896752487818,-12.900577476287078,-12.832849654211719
PAQR7,-11.879737214847049,-11.952020631595195,-11.942150415309904
STMN1,-7.594188593283446,-7.792358448976565,-7.980342833624363
PAFAH2,-11.823205420434688,-11.869285163439894,-12.06185345642606
TRIM63,-10.761572157805025,-10.608467937459286,-10.692199434410124
PDIK1L,-11.197635161459436,-11.229670271484913,-11.272467951323678
FAM110D,-12.575064648203453,-12.251111254221263,-12.57457187101296
ZNF593,-10.733518460626662,-10.890465903260047,-10.741289795366946
CNKSR1,-13.051427224142039,-12.771971758424572,-13.044799296210877
CEP85,-10.84660850715691,-10.900366146784968,-10.97691218230673
SH3BGRL3,-10.412502468023275,-10.31676447971957,-10.288809596569942
UBXN11,-12.20861482307639,-12.285665476502121,-12.485644870771067
LIN28A,-11.318933773243407,-11.053147363603234,-11.479520027969661
DHDDS,-10.84957699674843,-10.88878828978033,-10.979219848339648
HMGN2,-7.814032320171854,-8.080373115092355,-8.073624303066467
RPS6KA1,-12.248387405270826,-12.202498043975337,-11.993672531776324
ARID1A,-8.841584425363823,-8.88682530485318,-9.012196933665415
PIGV,-12.504322196216776,-12.438302032354292,-12.429147568955866
ZDHHC18,-12.03633519922293,-12.06394638229973,-12.075091383863466
GPN2,-11.234369064674073,-11.320251701438156,-11.3175561897213
GPATCH3,-12.116929727609325,-12.30919639064213,-12.30428004436545
NUDC,-9.031081630259543,-9.18782493125197,-9.220956832023253
TRNP1,-10.849212027988374,-10.944163070579448,-10.862900168952988
SLC9A1,-11.977460840445774,-12.084738080761896,-12.19428649596326
WDTC1,-10.835262428943832,-10.790154857207233,-10.922429430452658
TMEM222,-11.157379177350853,-11.188025195130823,-11.287825058026884
SYTL1,-11.554934967606231,-11.543897866784238,-11.382998217277486
WASF2,-9.188030810053181,-9.328840136097103,-9.19586104043852
ENSG00000237429,-12.82546291456371,-13.214107429211023,-12.910517310123948
AHDC1,-10.154396783015976,-10.295704972859822,-10.320114982773058
IFI6,-12.430284042064411,-12.387835710512984,-12.253011675426622
FAM76A,-11.273553138316077,-11.200905416814921,-11.234416525831984
STX12,-10.216018358681117,-10.239405201411525,-10.179854393174768
PPP1R8,-10.699006226900933,-10.722575129797804,-10.807272975142558
RPA2,-10.135022717741702,-10.38881316709988,-10.290118393757826
SMPDL3B,-12.389830076127977,-12.776475561953234,-12.515869136944435
XKR8,-12.053360451467416,-11.935474339721665,-11.994515979732597
EYA3,-9.72829683535342,-9.782808733375765,-9.915972418661111
DNAJC8,-8.959667742710336,-9.045768133777704,-8.989244200762743
ATP5IF1,-8.546748817034777,-8.614454881557391,-8.501088719669598
SESN2,-11.300829516020343,-11.452343439439613,-11.39174157388145
MED18,-11.702806846494294,-11.728996036770024,-11.799040391872747
PHACTR4,-9.06427813481697,-9.11960494263105,-9.296123254072073
RCC1,-10.962001437718735,-11.172060226211668,-11.277162587383884
SNHG3,-10.569270646210182,-10.71027956255537,-10.862380837608182
TRNAU1AP,-10.433403932494214,-10.548420295023933,-10.508687199988499
SNHG12,-11.888797463830088,-11.972512594025215,-12.220291846510682
TAF12,-10.235104530155416,-10.306687895312201,-10.30539110909035
RAB42,-13.060206188647637,-13.250934811882015,-13.183327399753829
GMEB1,-10.87885230981695,-10.909198166073987,-10.993578073117812
YTHDF2,-9.326309835816193,-9.119288594604916,-9.40831450378901
EPB41,-9.379748302538813,-9.410724482895397,-9.484471408442174
TMEM200B,-12.430615720116654,-12.087336899894133,-12.418566349497613
SRSF4,-8.723802910716039,-8.736929668341709,-8.847146986512548
MECR,-10.938470479195455,-10.977913867075985,-10.99675516678486
PTPRU,-12.211150233464133,-12.204350703386742,-11.941048561146133
SDC3,-10.557097776001369,-10.730908232185566,-10.789813141820451
PUM1,-8.355148252097973,-8.431748642907738,-8.499493566397762
NKAIN1,-12.779992173704274,-13.25196644552566,-12.932243025095518
SNRNP40,-9.932075212558363,-10.063575019873399,-10.100279366855078
ZCCHC17,-9.742676347731567,-9.757805666116777,-9.73614608675849
FABP3,-9.279519020424937,-9.231560536680592,-9.273644402170257
PEF1,-10.391995830822086,-10.56693372504992,-10.429083525689345
COL16A1,-11.4760315566255,-11.354757759299781,-11.756237754338947
ADGRB2,-11.16487149090691,-11.25081344380551,-11.175342729894801
PTP4A2,-8.854024515928637,-8.817086923598286,-8.953262554948987
KHDRBS1,-8.061410642654549,-8.16893228343764,-8.199416992222353
TMEM39B,-11.392284602867422,-11.391348832188342,-11.625909475867394
KPNA6,-9.646618180355365,-9.689726069840738,-9.737478567638908
TXLNA,-10.435466010751515,-10.563163154471114,-10.600171603825826
CCDC28B,-10.721013559524037,-10.743423156699324,-10.524465837732672
TMEM234,-11.92368197172908,-11.920449582346015,-12.001695972424569
EIF3I,-9.059401835519367,-9.217534022813423,-9.168002907400005
ENSG00000291132,-12.7894014318307,-12.857116675122851,-12.871330227884883
HDAC1,-9.720356777829915,-9.863106264393174,-10.054745154988836
MARCKSL1,-8.224478891663894,-8.434336068877258,-8.424616553620266
TSSK3,-12.667022048331777,-12.60149835329817,-12.829431362793697
FAM229A,-12.90603178796682,-12.770000194367919,-12.963574449314997
BSDC1,-10.310734775062073,-10.3291524618938,-10.573000698606105
ZBTB8B,-12.316665578967937,-12.312782619905677,-12.330618578238894
ZBTB8A,-10.661681560276795,-10.715491860764105,-10.835850024222022
ZBTB8OS,-9.813792643726215,-9.897633118137579,-10.05097620433834
RBBP4,-8.560050124766798,-8.689046062306902,-8.669602874688504
SYNC,-11.385868564307335,-11.741403439752002,-11.857963585114446
KIAA1522,-12.542401819280045,-12.64886558839702,-11.828366513670874
YARS1,-9.848349930882298,-9.891556531414263,-9.762861203606006
S100PBP,-10.07967249930774,-10.05546527543455,-10.091717574929786
FNDC5,-11.748614928812698,-11.789909126932049,-11.547470170839963
RNF19B,-11.523909838268338,-11.677499441051394,-11.485286579182066
AK2,-9.765534006515939,-9.841991708647006,-9.70028449988795
AZIN2,-12.401058008511855,-12.445960626537072,-11.983130214085062
TRIM62,-12.875850096248582,-12.854857965509618,-12.7794496358065
ZNF362,-10.503137839652082,-10.604977506259022,-10.827214373666665
PHC2,-10.280992071167109,-10.326338066829901,-10.29195835186347
ZSCAN20,-12.60692180428968,-12.72176549343627,-12.884385279800329
SMIM12,-10.742456423938405,-10.763851206928559,-10.74741335830532
TMEM35B,-11.001120890232718,-11.229843719759343,-11.218552337041741
ZMYM6,-10.311858257986332,-10.326397242677217,-10.193489520748253
ZMYM1,-10.287701377106998,-10.335992496739744,-10.269564003901479
ENSG00000284640,-12.760559141384157,-13.115497805685749,-13.04230447968639
SFPQ,-7.797424887150525,-7.919856954629913,-7.935320302533897
ZMYM4,-8.500978072032103,-8.494991565252283,-8.601903863168394
ZMYM4-AS1,-12.662983661316412,-12.58485162014213,-12.710065086268008
KIAA0319L,-9.332177212476712,-9.33616216414576,-9.45883784334926
NCDN,-11.952626560778432,-12.109224834745191,-12.137876540415888
PSMB2,-9.234593608676324,-9.434346237120904,-9.356358034772617
CLSPN,-10.620136165086773,-11.218588447713461,-11.064734774776014
AGO4,-9.681301116540876,-9.647639364646547,-9.777855484597806
AGO1,-10.44393403090693,-10.455568439662315,-10.523451810866753
AGO3,-9.044715801799923,-9.03142222554641,-9.1971834193727
ENSG00000271554,-12.918082593640552,-12.948516499475053,-13.099687815686863
ADPRS,-10.721001716893051,-10.879874637443681,-10.847561822395711
TRAPPC3,-10.34907902525374,-10.351161072658073,-10.33415655297362
MAP7D1,-10.596835850527697,-10.684224136370117,-10.731065759648642
THRAP3,-8.513176214249436,-8.63370614293983,-8.655142985413356
SH3D21,-11.50416359176616,-11.57515066863121,-11.173696387244767
EVA1B,-11.811325529738918,-12.002236196205136,-12.02782731315333
STK40,-10.9125460487899,-10.94001271000303,-11.123512112527314
LSM10,-10.658012881217823,-10.885078842519777,-10.73059443920505
OSCP1,-11.747647171228131,-12.019401469134236,-11.849389556109571
MRPS15,-9.808447953076035,-10.044847083634478,-9.97034893535334
MEAF6,-9.566635442962736,-9.583562799130437,-9.676059580971861
SNIP1,-10.862303129808408,-10.881492240521869,-10.932769774784335
DNALI1,-10.921612534033482,-10.95965613208721,-11.058749899954911
GNL2,-9.870025220120674,-9.998738614978572,-10.005306241768631
C1orf109,-10.915905676893711,-11.186097689958986,-11.034064677182887
CDCA8,-10.999316908656088,-11.79922595341167,-11.451750967674114
YRDC,-11.234188646459648,-11.269137586579335,-11.32283299506173
C1orf122,-9.93505938135128,-9.916439098322213,-10.005020349576128
MTF1,-11.49183211127305,-11.451154884394594,-11.5979862503973
INPP5B,-11.328708090801506,-11.20891733237604,-11.384154476752949
SF3A3,-9.658013451181182,-9.874263438900307,-9.849662487354898
FHL3,-11.149619381322472,-11.078057482700334,-11.33352038316885
UTP11,-9.862942358983778,-9.982785177463608,-9.913308108278178
RRAGC,-10.771043027240912,-10.90819310428416,-10.82447520955905
RRAGC-DT,-11.010905666523222,-10.812700322891319,-11.087308904801546
MYCBP,-10.500516105678381,-10.61926234753598,-10.57823080968654
AKIRIN1,-8.630910929288255,-8.752837935673288,-8.857770857950742
NDUFS5,-7.922226210658726,-8.088964009849098,-8.20021744419776
MACF1,-7.322258648536925,-7.28043086208055,-7.51182674740411
PPIEL,-12.12382943816276,-12.556222062853479,-12.957203585322219
PABPC4,-9.376236647898546,-9.719280365463499,-9.974676195494869
PPIE,-10.61489226132255,-10.82202928122743,-10.792676820439642
TRIT1,-9.952883177259402,-10.117650375886921,-10.129338795124793
CAP1,-9.397373950522832,-9.53882803700179,-9.515601693352675
PPT1,-10.600687774466051,-10.640095896254056,-10.841929296027066
RLF,-9.095698992539422,-9.148345754224536,-9.174770124524276
ZMPSTE24-DT,-11.47670713198334,-12.07345628863743,-11.945393072266517
ZMPSTE24,-10.540108960345908,-10.523002454219837,-10.73880044995016
SMAP2,-10.759253811913064,-10.841281499866366,-10.820796807927325
ZFP69B,-12.359530338778965,-12.528835671479042,-12.551152589816104
ZFP69,-12.84165577402098,-12.67072735529098,-12.730136995964466
EXO5-DT,-11.678010258758245,-11.807827078706882,-11.772199119449617
EXO5,-12.732191427003352,-12.796093245263116,-12.693626925646967
ZNF684,-11.679523980679472,-11.671926415389265,-11.649643225857709
RIMS3,-12.167137586815883,-12.123268048532065,-12.13112387398982
NFYC-AS1,-12.465424374495823,-12.443701839893015,-12.666460604740136
NFYC,-9.398606425011826,-9.518822163621918,-9.542579559506525
CITED4,-10.245067215412773,-10.182213177958246,-9.925707891174392
CTPS1,-10.568323495583801,-10.785449949853284,-10.812350195288058
SLFNL1-AS1,-12.342129420444591,-12.408777202941598,-12.465074561741632
SCMH1,-7.66236383760275,-7.585723677893503,-7.9284022235502984
HIVEP3,-11.324004633824817,-11.307049277879415,-10.959937730922897
FOXJ3,-8.92312557351974,-8.884987845274372,-9.024872226355583
RIMKLA,-11.055560896208377,-11.38719602923935,-11.145826310627745
PPCS,-10.022495571209504,-9.958803283675698,-9.839332151986156
CCDC30,-10.933921371846475,-10.665885968509885,-10.873057710035026
PPIH,-10.29938213670905,-10.443232271087547,-10.407022316359333
YBX1,-6.77330463068515,-6.994955385807547,-6.961338285499553
P3H1,-11.082341300300838,-11.22605270433912,-11.273628179858664
