,gene,sg^Ind1^Rep1^CellType
0,gene-1,-0.15519771506980362
1,gene-3,-0.002153833115638441
2,gene-4,0.044090813866659875
3,gene-5,0.18217478346168997
4,gene-6,-0.1177698362863709
5,gene-7,-0.0548422522821675
6,gene-8,0.5424630977168405
7,gene-10,0.25693675281895173
8,gene-12,-0.7090320673320284
9,gene-13,-0.13868210480534773
10,gene-14,-0.23906020462994
11,gene-15,-0.025050801429191628
12,gene-16,0.014715757342976674
13,gene-17,-0.03324066185799521
14,gene-19,0.18034228080885123
15,gene-20,0.1375075763588355
16,gene-23,-0.12583307356504392
17,gene-24,0.5402844408915328
18,gene-25,0.29088729623939713
19,gene-26,-0.042783683947874296
20,gene-28,0.6371331624337344
21,gene-29,0.3573934052871658
22,gene-30,-0.2251921011294301
23,gene-31,0.04747897749911428
24,gene-32,-0.04393076690102046
25,gene-33,0.3094353121171735
26,gene-34,0.008414657129811964
27,gene-35,-0.0648639698459803
28,gene-36,0.19598412162225648
29,gene-37,0.1191713954530975
30,gene-38,-0.3703710571639506
31,gene-39,0.3644486682618294
32,gene-40,-0.11206950722960944
33,gene-41,0.10160184522687037
34,gene-42,-0.09985708202507132
35,gene-45,-0.02771507826065534
36,gene-47,0.0887662076215996
37,gene-48,-0.07748553019779798
38,gene-49,0.3391127415222284
39,gene-50,-0.2827559050672547
40,gene-51,0.2934281841802182
41,gene-52,-0.15817250989501383
42,gene-53,-0.8889401591300761
43,gene-55,-0.2776820718214558
44,gene-56,-0.6315466014043238
45,gene-57,-0.07943287828240032
46,gene-58,0.05860773778712754
47,gene-59,0.7885526827561833
48,gene-60,-0.2618860047205408
49,gene-62,0.4015671228322688
50,gene-63,-0.07533354874846765
51,gene-64,0.04427623030289843
52,gene-66,0.32773602049964257
53,gene-67,0.2690372293940761
54,gene-68,-0.5860650425060321
55,gene-69,0.18004237703330608
56,gene-70,-0.2728778998560307
57,gene-72,0.4865081479612421
58,gene-73,0.1591005443367449
59,gene-74,0.1609696787627363
60,gene-75,0.15933623380469084
61,gene-76,0.28664662996397533
62,gene-78,-0.23387821059032995
63,gene-81,-0.3341148946896267
64,gene-83,-0.10672539670676784
65,gene-84,0.04510109461258684
66,gene-85,-0.14901491188143723
67,gene-87,0.29829298106947266
68,gene-88,-0.19383923529657562
69,gene-91,-0.08343190032876531
70,gene-93,0.06913333920608267
71,gene-94,0.0023963835693336303
72,gene-95,0.16562206273829358
73,gene-96,-0.04009085682199753
74,gene-97,0.07068857550470045
75,gene-98,0.2811420315155467
76,gene-99,0.18597782456965095
77,gene-100,0.13765997007437739
78,gene-102,-0.24005261278468387
79,gene-103,0.06313080287781847
80,gene-104,-0.07744456754076265
81,gene-105,0.2025469056332198
82,gene-106,-0.15289374138562903
83,gene-108,0.18160789325479954
84,gene-109,-0.0423511604387307
85,gene-111,-0.01862059850457589
86,gene-112,-0.08372935628513285
87,gene-114,-0.009460167799009043
88,gene-115,-0.16872852908805325
89,gene-116,-0.17685007544762135
90,gene-117,-0.15330747900089042
91,gene-118,-0.03813169535578344
92,gene-119,-0.4803952439970089
93,gene-120,-0.026041790810968007
94,gene-121,0.17035653561338285
95,gene-122,-0.08892519337837965
96,gene-123,-0.18116398387521568
97,gene-124,-0.28596152413394543
98,gene-125,0.16146205120776708
99,gene-126,0.11672888411864699
