,gene,sg^Ind1^Rep1^CellType
198,gene-263,-10.656443640707307
199,gene-264,-10.179354946671696
200,gene-265,-7.558757339053767
201,gene-266,-8.909282101711915
202,gene-267,-9.346845706684427
203,gene-271,-11.086552358869966
204,gene-272,-10.477525699452787
205,gene-273,-9.30427333812607
206,gene-274,-9.165562305248782
207,gene-275,-10.564481378998527
208,gene-276,-8.491374403678039
209,gene-277,-10.261301204804237
210,gene-279,-10.679219813288338
211,gene-280,-8.904448773817403
212,gene-281,-10.73107439198154
213,gene-283,-9.087749951907334
214,gene-284,-9.460289384585705
215,gene-285,-10.056081935209674
216,gene-286,-9.452076846190659
217,gene-287,-9.783115585992851
218,gene-289,-10.414044974430611
219,gene-290,-10.325753141276069
220,gene-291,-9.764292181927518
221,gene-292,-10.906902471776489
222,gene-293,-11.32285550367753
223,gene-294,-10.293723056159575
224,gene-295,-11.011798086417024
225,gene-296,-8.261328858925262
226,gene-297,-10.41598677145597
227,gene-298,-11.471230965936703
228,gene-300,-9.273033106564455
229,gene-301,-8.88058884246787
230,gene-302,-9.327798631698135
231,gene-303,-10.896276820475226
232,gene-304,-9.803216967085561
233,gene-305,-11.321867256021251
234,gene-306,-10.094712116614827
235,gene-307,-11.085095544533544
236,gene-308,-10.446284656628107
237,gene-309,-10.965520703558672
238,gene-310,-10.158994327901043
239,gene-311,-9.74344097656778
240,gene-313,-11.489903307715677
241,gene-314,-10.317692896758258
242,gene-316,-11.17305819078513
243,gene-317,-10.825387769933746
244,gene-318,-9.939798251491254
245,gene-319,-9.072405420675818
246,gene-320,-10.86852979467289
247,gene-321,-8.952347204616437
248,gene-323,-10.117060346426166
249,gene-327,-8.66562668189694
250,gene-328,-9.357002636347854
251,gene-329,-10.478867566031798
252,gene-330,-10.301859903262649
253,gene-331,-8.548899931721886
254,gene-334,-10.229526561082231
255,gene-335,-11.48147212760173
256,gene-336,-11.208676161752779
257,gene-337,-11.557651595874901
258,gene-338,-11.251800006144713
259,gene-340,-9.410822916798931
260,gene-341,-10.957147937365832
261,gene-342,-11.142559508366237
262,gene-344,-10.849889922988174
263,gene-346,-9.37179894010238
264,gene-347,-9.122757853584368
265,gene-348,-10.69173773193818
266,gene-351,-9.530151253070784
267,gene-352,-10.017959961858555
268,gene-353,-10.020606073450296
269,gene-354,-7.4880520062698555
270,gene-355,-9.224682540919957
271,gene-356,-10.400991313715041
272,gene-357,-9.366568196785193
273,gene-360,-9.327209896480504
274,gene-361,-10.301512097982034
275,gene-362,-11.562564632782163
276,gene-363,-10.958718827718204
277,gene-364,-10.36412659024015
278,gene-366,-10.044851624340216
279,gene-367,-10.601841099372296
280,gene-368,-10.921108557409333
281,gene-369,-11.220809148903413
282,gene-370,-10.612269224443926
283,gene-371,-9.844763499679768
284,gene-373,-11.513211453060453
285,gene-375,-9.835176238041097
286,gene-376,-9.980307489290102
287,gene-378,-9.830721322305699
288,gene-380,-9.342420827284338
289,gene-382,-10.61517042660595
290,gene-383,-10.87521557943031
291,gene-384,-10.81111461809693
292,gene-385,-10.14996132622909
293,gene-386,-8.515137049316786
294,gene-387,-9.630745918883221
295,gene-388,-11.092772451428914
296,gene-390,-10.762580061815571
297,gene-391,-10.694549507931558
298,gene-393,-9.715451410049136
299,gene-395,-10.298722000993267
300,gene-396,-11.039410097718669
301,gene-397,-11.48327472511988
302,gene-398,-11.509549811893372
303,gene-399,-11.398311017901651
304,gene-400,-10.798901411779315
305,gene-401,-10.784527140790386
306,gene-402,-9.551578507908378
307,gene-406,-11.130988162739742
308,gene-407,-11.04376799121396
309,gene-408,-10.554251860796228
310,gene-409,-10.30411794890622
311,gene-410,-11.152445045378498
312,gene-412,-11.658380524096897
313,gene-413,-10.14497916032647
314,gene-414,-9.485280873869883
315,gene-416,-10.949108646153883
316,gene-417,-10.641432997181486
317,gene-418,-9.496771265076475
318,gene-419,-9.109523287517325
319,gene-420,-11.551652299327584
320,gene-421,-10.036702569031371
321,gene-422,-9.36363461968109
322,gene-426,-7.892659951684077
323,gene-427,-8.09485391311553
324,gene-428,-8.207032702259168
325,gene-429,-11.315693402760285
326,gene-430,-10.460379906131987
327,gene-431,-10.778195388682292
328,gene-432,-11.115576970987085
329,gene-433,-9.938832543474478
330,gene-434,-7.634277899597239
331,gene-435,-9.52143255376318
332,gene-436,-10.59239093277524
333,gene-437,-8.04466751992963
334,gene-438,-7.632645990807891
335,gene-439,-10.261326408846472
336,gene-441,-10.557652829524176
337,gene-443,-10.54188222369318
338,gene-445,-9.65751442747568
339,gene-446,-10.59134567553088
340,gene-447,-9.135135240639778
341,gene-448,-9.010890920278975
342,gene-449,-9.213361901421528
343,gene-450,-9.817459883231958
344,gene-451,-8.516912602913635
345,gene-452,-8.941750885621502
346,gene-453,-7.67297084626186
347,gene-454,-9.34439726266092
348,gene-456,-8.724349345058329
349,gene-457,-10.902018968821617
350,gene-458,-10.328568036364423
351,gene-459,-8.972028643961837
352,gene-461,-11.30559999038124
353,gene-462,-10.13591829180854
354,gene-464,-10.719955926542356
355,gene-465,-10.561610643208164
356,gene-466,-11.409601070412851
357,gene-467,-11.19221441374623
358,gene-468,-9.60311613095798
359,gene-469,-10.507521680565489
360,gene-470,-11.298912146463628
361,gene-471,-10.813617122310347
362,gene-472,-10.294365442777845
363,gene-474,-10.640333964503515
364,gene-475,-11.447510098074035
365,gene-476,-9.69015329848204
366,gene-477,-7.850780085388543
367,gene-478,-10.704636497727746
368,gene-479,-9.494558386720264
369,gene-480,-10.865262008067345
370,gene-481,-10.701800669702042
371,gene-482,-10.463323040010765
372,gene-483,-10.668907366143095
373,gene-484,-8.828625424413165
374,gene-485,-7.76224453882753
375,gene-486,-9.625320227230684
376,gene-487,-10.539011159258367
377,gene-488,-9.764697480898189
378,gene-490,-11.120816662549707
379,gene-491,-8.36602492759295
380,gene-493,-6.165347418507689
381,gene-495,-10.906314615770526
382,gene-496,-10.092767049687946
383,gene-497,-8.76458086268253
384,gene-498,-10.20846985284181
385,gene-499,-10.070089644322099
386,gene-500,-10.260385119002926
387,gene-501,-8.247971054868271
388,gene-502,-9.98598293722667
389,gene-503,-9.523084114766046
390,gene-506,-9.323518973935869
391,gene-508,-10.568897152688612
392,gene-509,-11.03509507284042
393,gene-510,-10.854171206064496
394,gene-511,-10.368522107973574
395,gene-512,-10.951748214725406
396,gene-513,-9.10635212303579
397,gene-514,-8.892850189825408
398,gene-515,-8.769146150448659
399,gene-516,-9.130768015530084
400,gene-517,-9.939737154373613
401,gene-518,-10.750103647431086
402,gene-519,-9.969783382269577
403,gene-520,-10.030364185780599
404,gene-521,-10.68271884343632
405,gene-522,-10.702086669868105
406,gene-524,-9.841913447908828
407,gene-525,-10.49697711804491
408,gene-526,-9.103213884271403
409,gene-527,-10.331485345862223
410,gene-528,-11.496427493490094
411,gene-529,-10.352018958845061
