gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.858196871879477,-12.353957943090577,-12.738371092029881
LINC01409,-12.021468245914992,-12.014494398401808,-12.120206567188458
LINC00115,-12.365170288593498,-12.37126635773722,-12.496831896372974
LINC01128,-10.45561388084496,-10.603672185680582,-10.65351717181286
SAMD11,-11.943554722027116,-12.168119737163444,-11.843692896431637
NOC2L,-10.308969581518392,-10.503205778349605,-10.46210823054797
HES4,-10.658680642307916,-10.698320670153311,-11.5705468266864
ISG15,-11.233458878595988,-11.188489836645612,-11.03949575046654
AGRN,-11.681978899532155,-11.664524028742635,-12.154457185221158
C1orf159,-10.875507383212035,-11.048000829703318,-11.13099609561573
SDF4,-9.998228546584377,-10.1251551719567,-10.171168263720945
B3GALT6,-11.100648839422105,-11.21794010413483,-11.26170945002443
UBE2J2,-10.32829494658642,-10.451790248142556,-10.436775418065045
ACAP3,-11.841779067023323,-11.955192806835539,-12.179542849652425
PUSL1,-11.932109797716702,-12.081987269739123,-12.148640774716768
INTS11,-10.941487656920383,-11.17023553992085,-11.131448496187867
CPTP,-12.229953337786526,-12.315445527916262,-12.285019504835045
DVL1,-12.408409807936774,-12.682932329077401,-12.539904307032572
MXRA8,-11.542444287781851,-11.193250225479696,-11.662745122031273
AURKAIP1,-9.29932889672767,-9.404509706185557,-9.378828316604682
CCNL2,-9.199128217718986,-9.215130242065957,-9.527964774077146
MRPL20-AS1,-11.9749285736394,-11.908247684133832,-11.988559142812067
MRPL20,-8.967194249837382,-9.071140106686956,-9.081547109908795
VWA1,-12.304670647815676,-12.500722767841166,-12.809910713403177
ATAD3B,-11.949497014140825,-12.080597689919168,-12.061398900190778
ATAD3A,-11.264573584102124,-11.394855022082643,-11.574409097470635
TMEM240,-12.55522456094964,-12.536313670842707,-12.661721161620683
SSU72,-9.480174336233189,-9.505715493413367,-9.56279653358593
FNDC10,-11.954497696250906,-11.953692424805359,-12.527098319323532
ENSG00000272106,-11.36210467582235,-11.578340989881278,-11.556344514800001
MIB2,-11.271389061715647,-11.356622946341274,-11.350847062783537
MMP23B,-11.868248200847038,-11.987409811798297,-13.160887708285703
CDK11B,-10.416032288900563,-10.59620744704284,-10.549112339908458
SLC35E2B,-10.50642767821823,-10.441326222422834,-10.602424783414683
CDK11A,-10.663571781735895,-10.81867857880476,-10.911901531299703
ENSG00000290854,-11.4508892390329,-11.439217380582027,-11.674381698494853
NADK,-11.322327802729705,-11.327714569921818,-11.398932115755244
