gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
SCYL3,species,-0.6342875373707157,0.16314119952461378,0.00011428576036128378,0.8780860057389185,0.4801479269032202,0.045708056548440096,0.0007200370972842556,0.6043519784676737
C1orf112,species,-0.07294753486829922,0.10629234710955275,0.48916103572972325,-0.5343292770244229,0.22445435209110562,0.019813215216689082,0.6402952667422356,0.48893224976707567
NIPAL3,species,-0.1630039938957169,0.17419293817290726,0.3559312564515268,0.6365664947128452,0.3882610421303093,0.09131179461189926,0.5137727507347717,0.699481943613546
AK2,species,-0.08778487523462418,0.11030663880505205,0.42864309657555394,-0.08872665984237506,0.3459419099931948,0.791414141028121,0.5836318480431024,0.9722797245090055
KDM1A,species,0.01812756666159526,0.06042906526544065,0.7660166631436103,-0.16119763874540446,0.20650061362353778,0.42038619823900303,0.853938357251616,0.8833705669047881
ST7L,species,0.1215366775151045,0.09815867316128916,0.21857485703017726,0.39041142983732186,0.2271534604424561,0.09390754339241876,0.36297713418105626,0.7003008448973377
DNAJC11,species,0.02960473209091444,0.08153460852740298,0.7073587073713803,0.3346517135893752,0.24497373189481259,0.1771298534995705,0.8132650433707097,0.7741832203374683
E2F2,species,0.20112020378895729,0.17479129362810034,0.25718238541254357,0.5688728589451753,0.2875889824817658,0.06016237881171255,0.40639179439684037,0.6365685407145448
CSDE1,species,0.09042937151263686,0.03937481310584676,0.02073149384740091,0.3519040473150469,0.19951791955393383,0.07264504167974042,0.058776789621707286,0.6577664337611124
PAX7,species,0.16941249306222142,0.1529386041094019,0.27375250969629117,-0.18449045159872382,0.21101193834851711,0.4162577753487092,0.42521033448008994,0.8815180584693162
SCMH1,species,0.1877564624487719,0.050043441904829504,0.0001627839224446774,-0.1749512953457406,0.14937574056722572,0.23587238253199444,0.00098058829340231,0.7977476645231021
ELOA,species,-0.11852308239590723,0.09684985935660995,0.21410299220509377,-0.15590630055095336,0.26549819846972955,0.5344847506059354,0.35752366922852297,0.9181391519162437
CLCN6,species,0.14765798686966314,0.09668085071170299,0.12469725284557667,-0.3056329077449328,0.2562285512526589,0.23726948864471814,0.2386878677878272,0.7977476645231021
ATP1A2,species,-0.32495826267436984,0.11630938139485382,0.004819511870470555,-0.5712968850990167,0.2965017317990636,0.05149921997354298,0.017772233923860556,0.620205824036352
PLEKHO1,species,-0.1496118926392432,0.0990252461683329,0.1268297520718062,0.07365552239050423,0.3018327584642736,0.8403447444946204,0.24164665448304928,0.9779443226755509
KPNA6,species,-0.15155832128142216,0.09308475214428401,0.10711870459902861,0.10943329321423241,0.23579236632363118,0.6384032657761312,0.21225724575522892,0.9428187312012476
SARS1,species,-0.20601315308240617,0.1643054253239293,0.2008634527115169,0.06803975086118931,0.31686424653238243,0.8166140502237655,0.34087107297063973,0.9730443568975675
ADSS2,species,0.23167784870157335,0.12024938194724225,0.058815259239329884,0.11552803764194057,0.3709980118748557,0.7787013881703203,0.1342167989348954,0.9703326929429068
ZZZ3,species,0.10243040265162645,0.06256011029674484,0.11044666462042238,0.10842804518070198,0.1906059634040272,0.5947103305995962,0.2174201636867434,0.9373022493919257
FBXO42,species,0.09695786784076162,0.07810499048242912,0.22804804033785037,0.2899057814427349,0.27184535695562523,0.34272776565626534,0.37433939912810554,0.8584134771287635
TRIT1,species,0.0788013010159233,0.10406773227448717,0.46760091256744424,-0.046084233986844046,0.26601498053163064,0.8186967785028004,0.6213962282281448,0.9730443568975675
TPR,species,0.19920581930820114,0.04609266854742775,2.0781257974221517e-05,0.1345954817155482,0.16683584387909664,0.4472632771376062,0.00016180432203809293,0.8890208960225888
VPS13D,species,0.08608280315722078,0.06588532686207609,0.1977572540855766,-0.22897479212570618,0.20237232334731295,0.25934960852975825,0.33757646448944956,0.8142658217524299
H6PD,species,0.0060048663481342,0.17412332077546452,0.9869446410059772,-0.45544931740515776,0.35443626506072445,0.20736488436823447,0.9929266459165791,0.7909926414171574
PER3,species,-1.2994381997287296,0.08953642931346525,8.527703606959095e-48,0.13495745216626676,0.20769925840356168,0.44037907713407204,1.668232018111373e-45,0.8890208960225888
SIKE1,species,0.33658534361642145,0.15969264238965403,0.03564048009225787,-0.07118470933768824,0.27572039962903483,0.7363980246113024,0.0909749314312041,0.9624767615605445
THRAP3,species,-0.028081740464875,0.04537669477596152,0.5116064303535784,0.012138472459094676,0.160676995662701,0.972726337193424,0.659308352687212,0.9957472079453015
ARID4B,species,0.10957244183800177,0.043369260548558844,0.013248905216278027,0.1936296720702491,0.2004342011285139,0.32971279673217674,0.040880395629879954,0.855154999810833
SDCCAG8,species,0.1584470473890921,0.06525659201052637,0.01449774388502325,0.017306837620847854,0.16125535781409936,0.8629291278711988,0.044004982893835115,0.9796474596865345
HHAT,species,0.3002452690980839,0.07912325658331004,0.00015915844432193155,-0.26432000119929233,0.22693256648485668,0.2383878153315354,0.0009609682305703044,0.7977476645231021
KIF1B,species,0.00344449314185713,0.038703231916429125,0.9430963167672226,-0.13030923132125796,0.16677179873888587,0.36808372541077755,0.9661076614825195,0.8652662764934148
SZRD1,species,-0.2537592042491424,0.17483539984937793,0.15746932214712772,-0.27547503146669355,0.2901088886573015,0.32235184932827105,0.2842439321340887,0.8515878531376505
SOAT1,species,0.12644906579510679,0.13272366049650053,0.3619639971664806,0.17116005426016512,0.2964238905186321,0.5961236284576528,0.5195672655126168,0.9373022493919257
CROCC,species,-0.15813091153438405,0.05711764038036816,0.005024245407700545,-0.03513356604835356,0.2043208394119861,0.8525516230030563,0.018371364633297554,0.9782654372472985
ATP2B4,species,-0.3425406657606868,0.06448066848262819,1.2121889587195134e-07,-0.21738686852110653,0.19833735213723933,0.2804965940983972,1.5104106054108588e-06,0.8264827122525465
NDC1,species,-0.21464249632202137,0.07694874741997233,0.004672662658647269,0.01595914110634879,0.21532545545447088,0.8884691613360394,0.017345154318745202,0.9829864832738072
TARBP1,species,0.8059791910830965,0.07867376092730718,1.1466995252863861e-24,0.15402335815550927,0.21012608990516998,0.46863613803799026,7.669165628517924e-23,0.8951606796991824
PTPRU,species,0.31398509730775104,0.13571947421353145,0.024296044252730097,0.37652261981706314,0.2816712153572838,0.1944518274970778,0.06693617285633272,0.7909926414171574
SNRNP40,species,0.13924474045680052,0.09248348137837863,0.12346859789405837,-0.03792966468970506,0.27850262384778507,0.8907234104544597,0.23691559061329248,0.9829864832738072
COL11A1,species,0.07806454070767144,0.043499627194401855,0.07871329965069201,0.2019870386695219,0.1283432900744934,0.12526878752505255,0.16814948669578625,0.7481860489831862
DDX20,species,0.05030218952734459,0.14505500645550248,0.7363236030806524,-0.05811383056154906,0.45813670543141705,0.948211157503889,0.8355180095861521,0.9898861079446998
GNAI3,species,0.15183761237277407,0.0844830751279808,0.07346526142530657,0.037183666666439,0.27771501712225577,0.8711725994142792,0.15995149433862657,0.9798546880219625
WDR3,species,0.045638633541087006,0.11517701188976447,0.7195459923750427,-0.1884914403403036,0.2598930942332756,0.4504967342151749,0.8225635340152971,0.8907650136442653
PKN2,species,-0.008794818825384885,0.047833189499088206,0.8323215307143552,0.11517406475679039,0.1790958169196817,0.5301588493157542,0.8961084174243024,0.9157827421903182
SPEN,species,-0.10320220028936006,0.05167539695630525,0.0466536511153859,0.1602041554944319,0.20357550177455305,0.4273736152140509,0.1118801164504734,0.8849411082923386
PACC1,species,-0.1687348191360869,0.11650087682780844,0.15008569043647685,-0.03988686461191636,0.25632962421158056,0.9662632924661316,0.27452560253983904,0.9944845616117494
YBX1,species,-0.9190312478388756,0.08870025524388896,7.544501775743326e-25,0.08285098366051595,0.21579878928953602,0.6425138662178227,5.2244005659461524e-23,0.9441179748927756
PPP2R5A,species,-0.17808719581146243,0.183908639526432,0.3390155527188412,0.13333348230124886,0.3831623589033682,0.6559547721943746,0.49656040251327505,0.9465683150807217
KDM4A,species,0.003011043586726167,0.09374155677277216,0.9939423015612929,0.006943451478985802,0.25594355049812556,0.9686297960077075,0.996233957950188,0.994822127443535
NFYC,species,-0.1357551026145267,0.09611201439202079,0.1603996450335935,0.4590234188096131,0.2580197640157825,0.09004736581426617,0.2882699178658404,0.6993379108775377
ASPM,species,-0.08938127168509631,0.08645545741361711,0.29439442489226025,-0.19605710179089272,0.14573611019919078,0.18717089537975978,0.44817828303150514,0.7845735481582155
LRRC40,species,0.04739845966667407,0.0936197112013184,0.6199024669893765,-0.1125846004333901,0.2779514384729946,0.694208186548813,0.7494957979282866,0.9541651789772777
EVI5,species,-0.13084088790594472,0.05328810687680524,0.014656914995040501,-0.08152857809441509,0.16418202306071644,0.6185390856602131,0.04441919435948564,0.9394206532295604
DNTTIP2,species,-0.43838351206178217,0.1324134712426978,0.0008415871530011034,-0.10698776677080508,0.2939114512202046,0.695968804058456,0.004113316347428879,0.9542053828125534
RRP15,species,0.15896022935490417,0.10259099625996916,0.1251293730408587,0.06535267457034925,0.23492662701720343,0.8014702647143067,0.2393393654472548,0.9722797245090055
PRKCZ,species,0.0659001941461103,0.10207543930102213,0.5550183213141286,0.07875412533069488,0.27321291187566216,0.7486391768521397,0.696442970539297,0.9650592148946353
IARS2,species,0.09715093785958522,0.08324161475469466,0.24697845256691392,0.32306888605667994,0.2716688672425567,0.19734893362158962,0.3955395807073478,0.7909926414171574
NUP133,species,-0.37998257123177437,0.07472281500039137,3.478575017122555e-07,-0.15991624720714404,0.23986078544250763,0.5599788156575289,3.927828211974602e-06,0.9261962021813915
NUCKS1,species,0.22885549897756632,0.04642472431487923,9.458818756050199e-07,0.07484945528345242,0.14410594102416985,0.584797493843162,9.777444751135112e-06,0.9373022493919257
TGFBR3,species,-0.165704233686173,0.18603165635175317,0.38236352515943567,0.2769724635086367,0.36570600917238844,0.4107609362904429,0.5391952756122876,0.8815180584693162
TESK2,species,-0.5415144930264869,0.1753592399559331,0.0019706271791652017,0.34137726752172254,0.3728502363078876,0.3447973520891901,0.008505326904008662,0.8584134771287635
EIF2B3,species,0.5344948538020832,0.11078544933245087,1.5374423087681175e-06,-0.13330192259053775,0.23062844803726243,0.5422859462323111,1.5132686875610716e-05,0.9200454329208644
CDC42,species,-0.40803491667165726,0.12742728132655617,0.0014530800771307634,0.03210143745355925,0.44142923103721216,0.8838525590231813,0.006538442555231871,0.9818977814655062
ENO1,species,-0.2965251545568174,0.04958290201623675,1.9947992787527004e-09,0.019196692595113134,0.12766513929768783,0.8593397313603962,3.258727423014589e-08,0.9794284956548035
ARHGEF10L,species,0.30429415620971295,0.0930215909372423,0.0011086950452676909,0.029669663422608464,0.2545157928038847,0.9197511994505585,0.005207406200011814,0.9869387016417959
EIF4G3,species,-0.09569510566552478,0.030536467079140782,0.001806477291213789,-0.014610934141769722,0.157353310562707,0.8929638214308904,0.007894936753055814,0.9829864832738072
RASAL2,species,0.019919904284856113,0.04499463530283592,0.684236361125275,0.07180613611753282,0.1554802584977777,0.6121840363182216,0.7979475716828389,0.9394206532295604
KIFAP3,species,-0.22793594401777414,0.1031092778070666,0.024211020392579066,-0.0034953566790274703,0.2323322224125653,0.8842726729696386,0.06680226888996163,0.9818977814655062
KLHL20,species,0.5199515687967846,0.10346609204575445,6.39206242903624e-07,-0.43170534615382655,0.2628902510721193,0.0964404412682246,6.833044878033958e-06,0.7011991773619809
PPP1R12B,species,0.05148167773641789,0.05588639489511505,0.37161087204963317,0.08076822123179331,0.16924543925575286,0.684762765180413,0.5289667243910292,0.9530177524923741
USP33,species,0.18942148859292665,0.058334176541877725,0.0012869503805006477,-0.09854586128447604,0.23896153169529313,0.671594728880156,0.005923756898480923,0.9509460962417032
CAPZB,species,-0.005189765259985611,0.07806843428841943,0.9197931386842972,-0.1997645896381218,0.22275615637237212,0.33858515584884497,0.9530430760334515,0.858220179699019
GPR137B,species,0.07991825037432444,0.09721795618766416,0.4201450179660389,0.25225337666242176,0.23296010956789812,0.30660084812471056,0.5755663105014451,0.8403719022696026
GNB1,species,-0.04107257653041765,0.042560507794272576,0.31800217678657333,0.10325619523021638,0.2266548476145912,0.7124994988087694,0.47451697813785976,0.955688117030883
NRDC,species,-0.06057491333923171,0.05796995284502886,0.279451853533127,0.20898810791480268,0.21874950005819122,0.31780541783906746,0.4313344139774691,0.8493316438333558
CDC14A,species,0.015164949662411564,0.05627324365189491,0.7978959138144126,-0.03690217699455106,0.18409500007126908,0.8188874887058682,0.8743222973810081,0.9730443568975675
PGM1,species,-0.12389498612206797,0.14387581819112572,0.36088024927828355,0.15526013875022437,0.2560124689238984,0.5758337197757714,0.5186203766028593,0.9343612315934363
RSBN1,species,-0.039481462659803145,0.10632016940130791,0.7122525315161332,0.2144986858351363,0.3057479562476933,0.5257572311721443,0.8168512471220493,0.9157827421903182
MAGI3,species,-0.10460645504884648,0.08732125162908805,0.22849279591957405,0.020522718314269186,0.2296893154058807,0.9189201442119524,0.37475500483560403,0.9869387016417959
TRAF5,species,-0.010835865471542201,0.08833205508573408,0.8746189499239067,0.023677761820870932,0.20853664192429977,0.9375708995680552,0.9249531902021327,0.9896891088651357
PLOD1,species,0.5488927107055953,0.11846075170920078,3.742182642480593e-06,0.033492922446577214,0.2398896275063658,0.8314825410071205,3.354247328454827e-05,0.9767828979703825
SMAP2,species,0.31907359240701066,0.17341075084073784,0.06642713925364682,-0.5490699396915102,0.3657710398754913,0.11634082570642881,0.14758443062458443,0.7382468860408115
