gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
SCYL3,species,-0.3527637285893493,0.05370733801946579,5.142849229222266e-11,-0.18895806551537386,0.10209235213691543,0.05374684302992379,1.6161769283823437e-10,0.3390285186943826
C1orf112,species,-0.027980172296376574,0.03825877964516429,0.4789861295704309,-0.1567324172542639,0.0893697338526481,0.08293934078459882,0.5304267793874078,0.4254797559138935
NIPAL3,species,-0.006029623614512303,0.06220276676847539,0.9538825601026393,-0.21311586034356275,0.1379114113844893,0.16953949999107643,0.9616028326214556,0.5764592194286989
AK2,species,-0.13007880906764424,0.03841650303313481,0.0006930571203029275,-0.014521135316856365,0.10844472902235144,0.9711107202748355,0.0011989460368203423,0.9961166036205593
KDM1A,species,0.0970585966894302,0.02113065528638014,5.363406766033305e-06,-0.057260757553737794,0.07302806015777617,0.4074308194370873,1.1565444598258681e-05,0.7913144924151212
ST7L,species,0.04531833559440019,0.03273916387688576,0.1673483839360997,-0.10952477981251241,0.09261711139553731,0.2406389051232895,0.2047369455482654,0.6640142771554
DNAJC11,species,0.06703262121609893,0.02909978493682217,0.024319168686778855,-0.05478980086292979,0.08923294194053188,0.5243391620355231,0.03439043371511149,0.8495660577361758
E2F2,species,0.06610942237028658,0.05733527685350933,0.23644610424712542,-0.005875946714928486,0.10074335041129483,0.992038084987892,0.28060988808638737,0.9990367434894495
CSDE1,species,-0.0034428400415450026,0.014685659329041445,0.8251049301388482,-0.03719815251769627,0.06800833401039946,0.6108517519074281,0.8518087602683255,0.88471328608298
PAX7,species,0.152855220539729,0.05288841254386224,0.003962223627750027,-0.23470320860883495,0.08235280614393505,0.0044597447304568,0.0062938398394644665,0.07624317407384425
SCMH1,species,0.1841535262737958,0.018001454264808207,1.7670137279904117e-24,-0.047487745904826933,0.054650560369947664,0.3873330731452647,1.0536289303602401e-23,0.7779974032864616
ELOA,species,-0.12114673622352445,0.03614049508509307,0.0008629469735168267,-0.010100111823070227,0.0876865112582158,0.9128092518924913,0.0014759252182185132,0.9832277556074644
CLCN6,species,0.1931694221426116,0.0349283264106974,3.8852305105773534e-08,-0.06425607734321749,0.08677292584149195,0.42642727367000816,9.950197068048463e-08,0.8021608546315053
ATP1A2,species,-0.30841000156261167,0.04048219970135313,2.5073461354053013e-14,0.009699944488735863,0.08583953615950199,0.9641418769542317,9.597631768061172e-14,0.9958695943740761
PLEKHO1,species,-0.0939547283529956,0.03728916377930058,0.011875409284887013,-0.07503132622692997,0.09257068228556875,0.37767477812915656,0.017595607375095995,0.7747813656290722
KPNA6,species,-0.06380908932825649,0.032051032814231356,0.048516523720333604,0.1458135126002615,0.08787370789682017,0.10070315257231759,0.06526815731758234,0.4589383422228168
SARS1,species,-0.19693428879997713,0.054313148810987026,0.0002829368469146506,0.08589007364826819,0.11832029315574986,0.3967724135243765,0.00051086181264134,0.7850758329978679
LRRC7,species,1.3589957492121676,0.09256061769407212,3.137225200747646e-48,0.0343600467242886,0.20108783744106096,0.9988440388590663,3.804915942854216e-47,0.9999337243940978
ADSS2,species,0.2835081290602547,0.04244114272174077,2.9878699488436726e-11,0.021130857472300802,0.09384291135168617,0.8465015577745139,9.558016913402485e-11,0.9665283840391221
ZZZ3,species,0.06161122343125859,0.021477653892451796,0.004340702632387419,-0.09861533364414864,0.07367279033645029,0.17959576574711794,0.006860320957974638,0.5914068071369658
FBXO42,species,0.1063389532694301,0.02816773123514618,0.00017739855223734054,0.15578273713461332,0.08073216231846442,0.050517999316300945,0.00032738627455465927,0.3282897339320313
TRIT1,species,0.17921840696726765,0.035757421555042496,6.138317373435271e-07,-0.21975014026687126,0.1141736033404895,0.05657734058892914,1.422125079106778e-06,0.34875286064519007
TPR,species,0.18582528148026053,0.015689769110906776,3.1266634158659874e-32,0.01005330734047596,0.06605201477535237,0.8669516792468395,2.4101107882416896e-31,0.9717987048763452
VPS13D,species,0.13361462489453602,0.022724385864209617,3.7004881470408095e-09,-0.0031125893059983697,0.08204840565663238,0.8952007185163852,1.0246199890553715e-08,0.9790503093448579
H6PD,species,-0.10431452267004017,0.05966483161886489,0.08373700700501835,-0.10323123561404111,0.11929815980626601,0.35866992097477784,0.10844764713127232,0.7633530973390512
PER3,species,-1.3654246058545703,0.03109897665391997,0.0,0.21500967546401314,0.06754584013647312,0.0014757610571148401,0.0,0.03346906651786171
SIKE1,species,0.07090521531045736,0.05280856830665941,0.21773137292991268,-0.02651423746901258,0.12877180582630826,0.7051437665015323,0.2605670403204247,0.9231012900313872
THRAP3,species,-0.07158347872671729,0.01660470929237491,1.4909697755691525e-05,-0.03329302249394756,0.06294603388274804,0.6280771920578077,3.072384408847464e-05,0.8917932923501737
ARID4B,species,0.15091908028479395,0.015481519295238033,4.580086246725694e-22,-0.10390525277344759,0.076837029397285,0.17220618720855535,2.4993001931889097e-21,0.5797091166990707
SDCCAG8,species,0.17864158893813523,0.0236100350687491,3.6668210402818016e-14,0.038896525393196234,0.06452069820726203,0.5017624188181116,1.390026314159e-13,0.837653041969684
HHAT,species,0.20816247776411195,0.026678317207658616,7.112676417117526e-15,-0.006293691348862945,0.06188382272877001,0.9468377809713008,2.808916549829956e-14,0.9917917808619835
KIF1B,species,0.02240729389991147,0.013901729491160168,0.1250835018665133,-0.06673850342159197,0.056293180334087846,0.23147327732546558,0.15666883306409096,0.6552564239440579
SOAT1,species,0.20756177101542925,0.04497693996892985,4.6739347746238385e-06,0.019919318073523772,0.09746232897696258,0.9061741990096193,1.0148413441193487e-05,0.9828751370006076
CROCC,species,-0.17604606618104648,0.01985114136048877,7.585174475290746e-19,0.0883526757030942,0.07803521592938123,0.23110492308784425,3.6426477422035794e-18,0.6547940664752696
ATP2B4,species,-0.3576702344772857,0.023687078057492605,2.0533962782411697e-51,-0.0010271340939197865,0.062191850264253834,0.9184627167975057,2.65016457160501e-50,0.9846519075790479
NDC1,species,-0.28442636647271935,0.027903188865324894,1.2779824096350973e-24,-0.13744409932103802,0.0661052126781505,0.036116536873720365,7.684542504526136e-24,0.27703466749568295
TARBP1,species,0.9544372062602117,0.030189986533540082,1.441167497006017e-218,-0.11598146202441566,0.08675451005690614,0.1825105219837932,1.3462906367864544e-216,0.5939695799479875
PTPRU,species,0.25139774045428454,0.0502435777718876,7.459062004700677e-07,-0.1401839124647966,0.09928885135939589,0.16137493543510628,1.7174665361175532e-06,0.5670887229553421
SNRNP40,species,0.0017891207967281175,0.03119194573811623,0.9952840426053053,-0.01611989131357169,0.08049538317699419,0.814684153044444,0.9954108950196063,0.9621107489066181
COL11A1,species,0.07803077249701022,0.015459119536180886,7.167530572232329e-07,0.12129723765062375,0.04823524808716097,0.013772014174697544,1.6517947841499879e-06,0.15482664072901378
DDX20,species,0.2036901317664303,0.0524198824768055,9.585321078666195e-05,-0.03979029921504884,0.10337126434100014,0.7435008871095912,0.00018198890516403005,0.9376169272408604
GNAI3,species,0.11996975292149921,0.030110287361502425,7.83877487840996e-05,-0.15342629698739446,0.09319721640680108,0.1078531426879594,0.000150466894498246,0.4701767188467244
