gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
SCYL3,species,-0.5668626127644124,0.4186923221036842,0.18155047221214626,-0.93794375319356,0.7891427397453981,0.294649747841404,0.6810006675842674,0.9997233737874553
C1orf112,species,-0.191827866463211,0.35251974236048894,0.5948516597339489,-0.1020467451504081,1.2386429005768973,0.7258812809403399,0.9261839074527944,0.9997233737874553
STPG1,species,-0.6427922710041977,0.5342179630672609,0.24891732004050776,-0.731947007240385,0.9196716033675081,0.5291399794991958,0.7467608380349683,0.9997233737874553
AK2,species,0.19414359666777942,0.3933560230253212,0.6601947492238307,-0.6045106130969674,1.1948217788820323,0.5106279686271815,0.9462212548065813,0.9997233737874553
KDM1A,species,-0.2627092029996863,0.17316211812898447,0.12986886629281347,1.0431199864690948,0.9924576049031432,0.3277189953605271,0.6098661992298123,0.9997233737874553
ST7L,species,0.3083636382257903,0.2845467732019305,0.2680169748616641,1.6284890573454616,1.1147812505002956,0.1398851201533661,0.763211237456812,0.9997233737874553
DNAJC11,species,-0.3516473531249506,0.2715188750166438,0.2091459502113422,-1.0257732386033926,1.354127066877676,0.3911798878499624,0.7162361159855914,0.9997233737874553
CSDE1,species,-0.22442861370825656,0.1293843433391571,0.08684629879180064,-0.8519980873700315,0.8958775757441443,0.3687981696689688,0.5264004887597751,0.9997233737874553
PAX7,species,-0.03448748598544069,0.4308044436698864,0.9787225570869068,0.13653546774294523,0.7092857794066679,0.6780060706553837,0.9962029465870273,0.9997233737874553
SCMH1,species,0.06379446107804744,0.15882084125952045,0.6894067807960014,0.5662050719951439,0.587923553889577,0.329229862847563,0.9549556418623483,0.9997233737874553
ELOA,species,-0.03720258196401707,0.2832674574803687,0.9238543504785541,0.7243089870020425,1.0292576473093429,0.592021436885577,0.9915739270067159,0.9997233737874553
CLCN6,species,0.10241840634300456,0.31467641174459976,0.7666068099417571,-0.26856650883611244,1.1399103569207074,0.8972183597583904,0.9743600557043693,0.9997233737874553
ATP1A2,species,0.03953813160306212,0.2959826747480536,0.8799417369631355,0.7887040678054037,0.8516523416314103,0.46825899294234596,0.9875451316217837,0.9997233737874553
PLEKHO1,species,0.1036470996114048,0.42259061478377175,0.7715554580004342,0.5161840207295452,0.934618234389317,0.534995990696565,0.9762865096547674,0.9997233737874553
KPNA6,species,0.22955108257094475,0.28512159216897176,0.4312779351645543,0.3982411782549118,0.7318202234126739,0.6291178542236499,0.8678762567810994,0.9997233737874553
LRRC7,species,1.5081263061399204,0.8900696010321877,0.10702389795551956,1.149162327723208,1.3649179985657445,0.527074659015488,0.5698341243647511,0.9997233737874553
ADSS2,species,-0.020982355269826166,0.3266896144672479,0.9811756163583534,0.44755533623375654,0.889001272759177,0.7021117080715491,0.9970032302503807,0.9997233737874553
ZZZ3,species,0.059260724739322264,0.17599991163095327,0.7487527456273342,0.33913660250410593,0.7829022179162912,0.740907754147466,0.9734113615013579,0.9997233737874553
FBXO42,species,0.16288024321255645,0.2530184310913395,0.5100957237323545,1.8086649865454343,0.9525733777224566,0.05797488668238761,0.9010080552318802,0.907165259681969
USH2A,species,-0.0719518416468361,0.5718121162246187,0.8727590255978028,-0.7391216514554828,0.8785027946960313,0.40711308034917465,0.9865795482740014,0.9997233737874553
TRIT1,species,0.16845375884850042,0.30070720629625897,0.5748706380911963,0.2864684651546471,1.506380289949001,0.890070125054432,0.9206888049094918,0.9997233737874553
TPR,species,0.22730419647996428,0.1356018784790368,0.0921522606751216,1.4859401112449708,1.0150263198079397,0.1549171366290727,0.5351222175864174,0.9997233737874553
VPS13D,species,0.25963007580320985,0.19714575936357148,0.19632022683064526,-0.21576912105619825,1.032540645294852,0.7883276860587568,0.7025033777921277,0.9997233737874553
H6PD,species,0.3240732497407284,0.5402091094566054,0.5584884995914383,0.3847175455790168,0.793163676589565,0.6833226403119856,0.9177776293752664,0.9997233737874553
PER3,species,-1.3731559413160248,0.3259315711008286,3.7872847250226444e-05,0.38466994899225376,0.5738135432308484,0.4082297071582471,0.003790916367909652,0.9997233737874553
THRAP3,species,-0.20213819610640107,0.14379456228838713,0.15509023686528756,0.13661931402739805,0.7589058615576102,0.9984891407925984,0.6479384567036341,0.9997233737874553
ARID4B,species,0.2727254025187055,0.13611189910918206,0.048548063842689795,0.04293745676892618,0.6039093311129535,0.9273020542111069,0.4130533607958757,0.9997233737874553
OPN3,species,-0.5263728354232367,0.6732434137846571,0.43269107733327206,-1.0256381802735044,0.8394792476065648,0.23180102930603325,0.8685751754935279,0.9997233737874553
SDCCAG8,species,0.006746470836328716,0.20213379257013428,0.9832065973372652,0.6388257126810467,0.6158295554679148,0.3416054052918699,0.9974025554273771,0.9997233737874553
HHAT,species,-0.07432059575935752,0.2434213524024729,0.7580618236972325,-0.047223882394687215,0.4440292694189752,0.8848460802689853,0.9742167631050414,0.9997233737874553
KIF1B,species,0.05018178390975067,0.11757774254870176,0.6577372605628935,-0.691488923544278,0.7872074863627975,0.39271892237412476,0.9447988631141713,0.9997233737874553
SOAT1,species,-0.230079375112536,0.41363491622502785,0.6069980898028347,0.4440107853514299,1.0370495279981233,0.5714849044602017,0.9300720643282653,0.9997233737874553
