gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.924188867415666,-12.169762191952241,-12.70828501803961
LINC01409,-12.006011257157985,-11.88357873165701,-12.1737828693657
ENSG00000290784,-13.087155930362345,-13.0388761591207,-13.114825307138362
LINC00115,-12.437538941523734,-12.470850094650112,-12.648117584005353
LINC01128,-10.430743415713994,-10.607934923516696,-10.631141205145097
SAMD11,-11.864944685399216,-12.093801108594688,-11.844518019787222
NOC2L,-10.287837445069526,-10.475175157427017,-10.449754583474641
HES4,-10.682766717001323,-10.7083265387928,-11.538891772401875
ISG15,-11.30270002163663,-11.18891751169074,-11.11014517833928
AGRN,-11.717305839791297,-11.614015403717415,-12.25253039204918
C1orf159,-10.907484535989687,-11.073205626938057,-11.109244860170802
SDF4,-9.97538586123704,-10.126721516512227,-10.138351359241796
B3GALT6,-11.151226124147227,-11.249418444522451,-11.37480625813036
UBE2J2,-10.351666968597913,-10.363537438018948,-10.462654113512174
ACAP3,-11.91770476662406,-11.982508923912725,-12.172094505395437
PUSL1,-12.018549121465345,-12.111795686143527,-12.139987995268992
INTS11,-11.015953043168754,-11.194566401905641,-11.205138078753606
CPTP,-12.203874925640479,-12.313594280526228,-12.252496094302076
DVL1,-12.42935742412324,-12.762388745617876,-12.641177363272696
MXRA8,-11.496896938539445,-11.246773879218125,-11.617470923273595
AURKAIP1,-9.313989570944747,-9.408835062111097,-9.393008653295489
CCNL2,-9.214556454516762,-9.206611608050657,-9.512936703302087
MRPL20-AS1,-11.9571738489473,-11.904360111806529,-12.001263983218799
MRPL20,-8.953151371930165,-9.068141695400296,-9.093046986004218
VWA1,-12.263489808496272,-12.617554188759529,-12.922114159839754
ATAD3B,-12.094065940533067,-12.097073303657405,-12.067678274359443
ATAD3A,-11.31778037464818,-11.447311911798243,-11.560397112527676
TMEM240,-12.542670935489959,-12.627070216850344,-12.881427424483581
SSU72,-9.470768866015215,-9.527367598835623,-9.532777425545037
FNDC10,-12.059724425051671,-11.888312100187367,-12.411703787296616
ENSG00000272106,-11.417929427065094,-11.467193304838808,-11.564237984570292
MIB2,-11.180520585620792,-11.32343833736223,-11.401630650711338
MMP23B,-11.972369534422253,-11.936646820266908,-13.106545228217048
CDK11B,-10.408657672608234,-10.56122495154473,-10.500222704385413
SLC35E2B,-10.471444357674795,-10.424536483124038,-10.581078363127238
CDK11A,-10.696845955460773,-10.757071609169163,-10.880084597714017
ENSG00000290854,-11.425109748205228,-11.322548041280847,-11.645905940865896
NADK,-11.28239892702158,-11.38294110194637,-11.392409825221865
GNB1,-8.716428871294504,-8.816253169041712,-8.904593618307047
PRKCZ,-10.896767329921612,-11.004088040293261,-11.065074742214774
FAAP20,-9.809325997057005,-10.034243199250287,-9.918247004919204
SKI,-10.50592549882988,-10.59615824541462,-10.816712381575826
MORN1,-11.69738969737739,-11.586548332892862,-11.800186124696387
RER1,-10.20074553798198,-10.228562719267549,-10.423142513582151
PEX10,-11.549136035854715,-11.594711012913123,-11.504939197902084
PANK4,-12.266919276813704,-12.233480882141476,-12.100298322440166
PRXL2B,-12.154494713760924,-12.089574964001244,-11.972916995353508
PRDM16-DT,-11.32771028405336,-11.889356594668179,-11.486247839179294
PRDM16,-9.341659639353932,-9.584277737498235,-9.364412469258387
MEGF6,-12.284584687925593,-12.522496461308274,-12.66540545766427
TPRG1L,-11.199992827924872,-11.201146492414717,-11.258993569040285
WRAP73,-11.683108234825498,-11.800047205980245,-11.569973208767497
SMIM1,-11.703673150105118,-11.786132981730944,-11.638122109045817
LRRC47,-10.376881819459024,-10.419414310896961,-10.421859132110166
CEP104,-10.54456722017156,-10.525102724899865,-10.620369321596103
DFFB,-12.099957005753067,-12.158211435680764,-12.224298956994295
C1orf174,-11.309700153416765,-11.33457771227971,-11.391757406489337
NPHP4,-11.298649126605255,-11.331745383516923,-11.122844316602407
KCNAB2,-12.616210328853978,-12.716313444725508,-12.189865441251369
RPL22,-7.146110878133201,-7.320626217118019,-7.283217537291325
RNF207,-9.930467559359979,-9.566183968548685,-9.82640720228193
ICMT,-10.414996904003136,-10.502454634111295,-10.658201531931208
GPR153,-12.67943753668392,-12.264301605944764,-12.347321467326953
ACOT7,-11.580314971317252,-11.773231663202683,-11.681905438943867
PLEKHG5,-12.131869957846732,-11.97887263921029,-12.33720736140546
NOL9,-10.201176318668194,-10.259626609507455,-10.378020463614217
ZBTB48,-11.919284493751984,-12.015542866697913,-12.186213458005184
