gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-13.045872734436074,-12.365547145269154,-12.702431251747726
LINC01409,-12.199850567798206,-11.91932198592172,-12.122453424604391
ENSG00000290784,-13.106234219794919,-12.981781580915802,-13.079678685965483
LINC00115,-12.393073001279001,-12.461374343059841,-12.459564607399496
LINC01128,-10.469695594866158,-10.588701918871466,-10.682267076402187
SAMD11,-12.020698937639459,-12.028826802770235,-11.787993022813813
NOC2L,-10.300795211322468,-10.48703172285433,-10.45255458185203
HES4,-10.680629822815474,-10.660408887483747,-11.648764773876616
ISG15,-11.254293108352655,-11.2221314457353,-10.9027088822995
AGRN,-11.68495678077329,-11.647393774615367,-12.03003466909141
C1orf159,-10.938147141762986,-11.047686817302862,-11.137876678683448
SDF4,-10.026878844809593,-10.111852404692323,-10.153724146509722
B3GALT6,-11.096408230518861,-11.14827070906646,-11.31652468057751
UBE2J2,-10.343350228363956,-10.386362950346603,-10.461867629533161
ACAP3,-11.811941432985817,-12.057333319455603,-12.073279675486067
PUSL1,-11.978056852542746,-11.973988998908842,-12.101872471206532
INTS11,-10.99400127715122,-11.243534059654015,-11.184485105986333
CPTP,-12.316052597412488,-12.390529138207304,-12.188191863938359
DVL1,-12.51432484750488,-12.62908252897625,-12.568639245340682
MXRA8,-11.438925029159499,-11.189655172973557,-11.637738847537127
AURKAIP1,-9.272703986334678,-9.412226392131966,-9.369583652813915
CCNL2,-9.227177106853219,-9.21202392565213,-9.547816087868013
MRPL20-AS1,-11.962570942285366,-11.828856308928119,-12.147937068732737
MRPL20,-8.953419870499404,-9.086948421245422,-9.085551955783474
VWA1,-12.17692286819082,-12.467537810707602,-13.12487681427663
ATAD3B,-12.06705417014762,-12.117033172751999,-11.984047634912365
ATAD3A,-11.261890626235244,-11.39236956675516,-11.452421140590918
TMEM240,-12.591680230781392,-12.549869353487138,-12.681428525711057
SSU72,-9.466747979031457,-9.490093941480765,-9.569677434647625
FNDC10,-11.922421319955406,-11.905337536280534,-12.510010942058338
ENSG00000272106,-11.414521895710303,-11.543020137126598,-11.485496815888508
MIB2,-11.276155781946144,-11.332194209468026,-11.361451925050677
CDK11B,-10.366396748472201,-10.522387993464758,-10.55659626670093
SLC35E2B,-10.46297557554576,-10.436558446917148,-10.583191124722736
CDK11A,-10.636453345827787,-10.803770766680897,-10.89068356355628
ENSG00000290854,-11.49055485895915,-11.392442166971987,-11.691637846944793
NADK,-11.360516528924082,-11.321422552892765,-11.35006494104213
GNB1,-8.732037234187334,-8.823143659050537,-8.940026665436775
PRKCZ,-10.945810415335743,-11.01814863821428,-10.982047737569298
FAAP20,-9.785322937494145,-10.012455271243073,-9.9514813508124
SKI,-10.633790842188676,-10.56915295176557,-10.7663604661452
MORN1,-11.626526980316475,-11.561182634399735,-11.8181897614503
RER1,-10.198903235686476,-10.24007792328057,-10.393537406360435
PEX10,-11.515679843199141,-11.606572916214885,-11.55449514191435
PANK4,-12.153641055294283,-12.279220743954157,-12.110197434533353
PRXL2B,-12.221153908756484,-12.249448191461244,-12.063711262488374
PRDM16-DT,-11.296707504882741,-12.112072948977804,-11.543135698267939
PRDM16,-9.361992802624595,-9.608093944308138,-9.366200473493931
MEGF6,-12.297234766112041,-12.432573945980405,-12.737779536083519
TPRG1L,-11.04636407726388,-11.231793744418338,-11.26533859094673
