gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.905331008609126,-12.237384031862105,-12.81677339028073
LINC01409,-11.963540218477727,-12.047739011701115,-12.12536080209355
ENSG00000290784,-13.035616189404763,-12.935023281236496,-12.989783270043505
LINC00115,-12.315976895063558,-12.441976166602698,-12.442871103162634
LINC01128,-10.454334900787217,-10.550193091680104,-10.620350130988424
SAMD11,-12.038730855471947,-12.028269799079808,-11.830210463879173
NOC2L,-10.254788071456383,-10.449845390626963,-10.487273282572632
HES4,-10.677460609288907,-10.707342359759702,-11.61927945277395
ISG15,-11.144676428971575,-11.24950382665347,-11.023274995319376
AGRN,-11.693804901204025,-11.548872635331243,-12.1031086524173
C1orf159,-10.903303589594893,-11.100842446185345,-11.152678536142847
SDF4,-9.979535262025154,-10.143615113331053,-10.15027892290433
B3GALT6,-11.037277909615968,-11.182328622839059,-11.319731562983296
UBE2J2,-10.317363165522506,-10.461275012736996,-10.46161418903277
ACAP3,-11.886975957857379,-12.042490046909759,-12.140645887020996
PUSL1,-11.911106782409759,-11.938545600520003,-12.03975721990122
INTS11,-10.925267467601273,-11.210492756406103,-11.163893789308679
CPTP,-12.363438229710152,-12.272682332830252,-12.326839136529072
DVL1,-12.40222444456168,-12.786140833823476,-12.562430971207203
MXRA8,-11.474110648725159,-11.16239440347109,-11.70866162778787
AURKAIP1,-9.274513141240725,-9.436272839256192,-9.347087666036064
CCNL2,-9.189686424894466,-9.197218160057924,-9.517187985655339
MRPL20-AS1,-12.054246995296957,-11.86228096251907,-12.07741323127548
MRPL20,-8.963448408812349,-9.080025472354123,-9.07217693557113
VWA1,-12.176801037853272,-12.40940852266969,-13.098171599135682
ATAD3B,-11.989738524688958,-12.0437732064748,-11.986222570734125
ATAD3A,-11.228051149985967,-11.393623764183586,-11.549806196378123
TMEM240,-12.49479568304729,-12.646128872929834,-12.706339196317913
SSU72,-9.45039008454564,-9.481070849285786,-9.562398896960955
FNDC10,-11.968484782895535,-11.863064323686132,-12.357958564071229
ENSG00000272106,-11.384244977578382,-11.559333772745235,-11.547800324658038
MIB2,-11.214208991695784,-11.316189494388079,-11.388568615499551
MMP23B,-11.77916996273183,-11.951138002895437,-13.122604863208934
CDK11B,-10.421406291157338,-10.549109893761369,-10.592010613023174
SLC35E2B,-10.432025639272988,-10.421492644109577,-10.637652034876934
CDK11A,-10.661405776990874,-10.721404684653084,-10.896755527502101
ENSG00000290854,-11.436907514800664,-11.461475324294442,-11.61885676722764
NADK,-11.231544987399202,-11.353463403818054,-11.359341587218296
GNB1,-8.726010168565974,-8.849653092552717,-8.911479077398187
PRKCZ,-10.959414043525927,-11.007341073067652,-11.031649602096591
FAAP20,-9.798218249662215,-10.045899027649515,-9.915417855149
SKI,-10.583204524176544,-10.6005089046255,-10.767756781545483
MORN1,-11.641748434559217,-11.583615043145107,-11.718860185975927
RER1,-10.227552038683305,-10.301071550735637,-10.355964424566068
PEX10,-11.447700701307204,-11.654957290322399,-11.639795149774276
PANK4,-12.1669116261645,-12.242051821906282,-12.020328985604309
PRXL2B,-12.133446882720294,-12.08535724018462,-11.963259405858524
PRDM16-DT,-11.286613013728902,-11.948639400576074,-11.522623479856197
PRDM16,-9.292448862229564,-9.572490169659783,-9.382744647596672
MEGF6,-12.243139256058553,-12.37739649907938,-12.637419150928194
TPRG1L,-11.055981142178087,-11.239080440781947,-11.189573581268574
WRAP73,-11.76019220637035,-11.718716323696414,-11.753504256086176
SMIM1,-11.712825751363933,-11.715000204239283,-11.521250202445806
LRRC47,-10.287225418672344,-10.453457364166397,-10.405905051895788
CEP104,-10.46887774026827,-10.51270487107155,-10.560884985351748
DFFB,-11.946357030557795,-12.210640716176483,-12.206455337903426
C1orf174,-11.228296243665978,-11.371847475551391,-11.36523896143478
NPHP4,-11.265480316290711,-11.280955583738145,-11.09896484679661
KCNAB2,-12.720766388426663,-12.624671585319605,-12.05141595984463
RPL22,-7.105391210657704,-7.304675561472219,-7.284935815253405
RNF207,-9.881314103912905,-9.557552859224446,-9.802881431641401
ICMT,-10.435716105582777,-10.491538889612578,-10.637028556775789
GPR153,-12.685550370694651,-12.302080599794778,-12.435170422670348
ACOT7,-11.456372984412283,-11.742673204555114,-11.662139393220377
PLEKHG5,-12.147426669924243,-12.027130545556554,-12.261928682732503
NOL9,-10.208271538691141,-10.26530293335556,-10.38893659238244
ZBTB48,-11.814845479980743,-12.077504963882033,-12.316504337869445
KLHL21,-10.495906024893292,-10.479120437451401,-10.884519353316405
PHF13,-10.214708105648405,-10.222268273585765,-10.594112522132043
THAP3,-11.46013376843867,-11.54906949236248,-11.422814974691628
DNAJC11,-9.931893134565634,-10.024130486185234,-10.053147322269755
CAMTA1,-8.249632696221381,-8.185125179168256,-8.150371507612876
VAMP3,-9.934770451280352,-9.910693546932515,-10.072038017455569
PER3,-11.305360818226355,-11.15272813774241,-11.105487589334949
PARK7,-8.468648872409133,-8.62610907635049,-8.569905473732925
ERRFI1,-10.989445050238329,-11.093351773270212,-11.073596805925952
RERE,-7.433702372486792,-7.5037245191812865,-7.64776936093044
ENO1,-7.141279030702362,-7.50196794197496,-6.819940908226271
GPR157,-11.835527908141898,-11.442630295977972,-11.804875514498901
MIR34AHG,-12.357141601904104,-12.551630889236986,-12.953927505311325
H6PD,-10.919257586972153,-10.914118920516119,-11.294911077682244
SPSB1,-13.039859783618011,-12.743401574711054,-13.227101935595767
SLC25A33,-10.616732270686919,-10.664464747579402,-10.804665018474385
TMEM201,-12.269120515614064,-12.367793479196676,-12.360147848497272
PIK3CD,-12.758401816554745,-12.90355609801856,-13.06618030760921
PIK3CD-AS2,-12.2155936325376,-12.694496393222154,-11.935640628154731
CLSTN1,-10.025550909862531,-9.869598251403294,-10.242276537264488
CTNNBIP1,-9.933931929539133,-9.94425670551277,-10.094918911795167
LZIC,-9.44415090636151,-9.512474570913332,-9.478727337822564
NMNAT1,-10.984262662296914,-10.982273177782726,-10.904100337796589
UBE4B,-9.121567862409439,-9.082425097776245,-9.458851810556212
KIF1B,-8.46520999496585,-8.512172090958906,-8.749697318095615
PGD,-9.56011741457052,-9.720297982062151,-9.792510819337016
CENPS,-11.12712461235012,-11.37879476529142,-11.341209142413515
DFFA,-9.707615188404615,-9.909248876280113,-9.830094624769064
PEX14,-9.847518373154438,-9.885799379409443,-10.106986914736336
CASZ1,-8.963788931838646,-9.095298504125356,-9.186614106167022
TARDBP,-9.336811249228045,-9.414445415985822,-9.512247418402668
SRM,-9.99615536905539,-10.19440875192015,-10.159560228919084
EXOSC10,-9.72165354787984,-9.812911706650056,-9.821699013803963
MTOR,-9.835650887924588,-9.8906807367121,-9.958194959566567
UBIAD1,-11.161463323090643,-11.244460355422868,-11.390336564810525
FBXO2,-12.245807291830326,-12.271269355985874,-12.15668045289375
FBXO44,-11.883950335051368,-11.841223700562484,-11.620459688504747
MAD2L2,-10.8467952683145,-11.185848849464705,-10.585428341112117
FBXO6,-13.113882517450413,-13.151488501439797,-12.979962752113508
AGTRAP,-10.899602914170114,-11.019934816320971,-10.708348959320498
MTHFR,-10.511440835622366,-10.497017345580925,-10.694230250374982
CLCN6,-10.740608571267972,-10.74123458320985,-10.851284355876645
NPPA,-8.663850911489304,-8.549105606214637,-7.983202225369692
NPPB,-10.117386961103858,-9.895610952367223,-9.529019890242374
KIAA2013,-10.807951864156026,-10.925880617114652,-11.027258832147098
PLOD1,-10.522258632487452,-10.810335478999209,-10.58002756275077
MFN2,-10.101758642157376,-10.265343671727463,-10.413503826874273
MIIP,-12.378606237394596,-12.523294688843217,-12.50061944274949
VPS13D,-9.157201846572006,-9.379111277989203,-9.407623773877372
DHRS3,-10.514944306497146,-11.076134300620804,-11.338692598385105
PDPN,-12.558071941930034,-12.627744167776283,-11.702528013699188
PRDM2,-9.56575851587706,-9.559375229115316,-9.647330352543149
KAZN,-8.25757201250649,-8.258896433052046,-8.515813823647557
TMEM51-AS1,-11.41459189763261,-11.593187820225898,-11.013374686870295
TMEM51,-10.083568250168673,-10.510690479082783,-10.269212889607857
FHAD1,-11.657895283067502,-11.794703406320451,-11.634596634835955
EFHD2,-11.574278122299651,-11.61176931820982,-11.147369996766693
CASP9,-11.030126773868112,-11.201430346187607,-11.00609936557635
DNAJC16,-10.066903460208483,-10.136247556579182,-10.308064048752234
DDI2,-10.175513977322353,-10.137565163048532,-10.211713799669585
PLEKHM2,-9.84808791953998,-9.861872868657512,-10.096391058367596
FBLIM1,-10.01752979204622,-10.131008127463229,-10.206387918055542
UQCRHL,-11.958035172898983,-11.991352489126893,-11.983885421386052
SPEN-AS1,-11.099618909993772,-11.040367753120826,-11.02334585595447
SPEN,-9.128850448942064,-9.136517571538294,-9.295782717846796
ZBTB17,-11.56582992845659,-11.724228594940696,-12.003055862641297
HSPB7,-8.6371778211198,-8.832337831280887,-8.605513178171757
CLCNKB,-12.91980078679862,-13.073049658834448,-12.849154939024446
EPHA2,-12.164729281953468,-12.156900507874395,-12.582802724696197
FBXO42,-9.803957904560663,-9.980584961029397,-10.079029779421038
